Sample	Raw_Reads	Raw_Bases	Trimmed_Bases	Mapped_Reads_BWA	Percentage_Mapped_Reads_BWA	Mapped_Reads_Post_BWA_BBMAP	Mapped_Percentage_Post_BWA_BBMAP	Mosdepth_Avg_Depth	Prop_g_cov_1	Prop_g_cov_2	Prop_g_cov_3	Prop_g_cov_4
L6866A1	45327622	6844470922	0	33742283	74.44	26490248	58.44	4.36	78.56	71.72	64.20	55.31
L6867A1	48123388	7266631588	0	35406897	73.58	24302353	50.50	3.84	76.98	69.19	60.00	49.65
L6868A1	48515138	7325785838	0	35164534	72.48	23755129	48.96	3.71	76.74	68.62	58.88	48.07
L6869A1	48805264	7369594864	0	36025948	73.82	26552191	54.40	4.28	78.29	71.36	63.61	54.52
L6870A1	48080204	7260110804	0	34931667	72.65	23745824	49.39	3.72	77.02	68.85	59.28	48.53
L6871A1	47105380	7112912380	0	34047961	72.28	24191488	51.36	3.91	77.58	69.63	60.68	50.46
L6872A1	47806866	7218836766	0	34583563	72.34	22617194	47.31	3.60	77.06	68.28	58.18	46.87
L6873A1	45865908	6925752108	0	34040315	74.22	24827262	54.13	4.03	77.38	69.70	61.09	51.32
L6874A1	49449760	7466913760	0	37430910	75.69	26733887	54.06	4.25	77.25	69.82	61.87	53.20
L6875A1	46981406	7094192306	0	34970362	74.43	24749858	52.68	3.96	77.24	69.42	60.54	50.66
L6876A1	48419022	7311272322	0	36023066	74.40	25248942	52.15	4.01	77.02	69.33	60.58	50.92
L6877A1	41432954	6256376054	0	31578935	76.22	24167079	58.33	3.95	76.95	68.90	59.98	50.19
L6878A1	34247586	5171385486	0	26083428	76.16	19818781	57.87	3.24	75.33	65.17	53.89	42.10
L6879A1	40060600	6049150600	0	30105457	75.15	22392255	55.90	3.60	76.22	67.55	57.52	46.67
L6880A1	37870602	5718460902	0	28402469	75.00	20398147	53.86	3.28	75.51	65.66	54.42	42.59
L6881A1	44766634	6759761734	0	33414627	74.64	23944470	53.49	3.84	76.97	69.04	59.85	49.59
L6882A1	43504638	6569200338	0	31903150	73.33	22114033	50.83	3.51	75.95	66.99	56.50	45.27
L6883A1	47698898	7202533598	0	34919130	73.21	23659103	49.60	3.69	76.52	68.42	58.77	48.12
L6884A1	47171994	7122971094	0	35291135	74.81	24867350	52.72	3.98	77.30	69.59	60.87	51.09
L6885A1	41704340	6297355340	0	31705945	76.03	21751983	52.16	3.39	70.95	62.74	53.27	43.28
L6886A1	39870478	6020442178	0	30368473	76.17	23368551	58.61	3.88	77.38	69.29	60.34	50.19
L6887A1	47870186	7228398086	0	35961488	75.12	24776659	51.76	3.94	77.17	69.57	60.75	50.80
L6888A1	48784762	7366499062	0	36725514	75.28	25754959	52.79	4.16	77.62	70.43	62.21	52.78
L6889A1	43997872	6643678672	0	33324544	75.74	23388270	53.16	3.79	76.57	68.35	58.93	48.54
L6890A1	40848312	6168095112	0	31100597	76.14	23207631	56.81	3.89	77.10	68.78	59.65	49.45
L6891A1	36301844	5481578444	0	27462524	75.65	20818489	57.35	3.43	75.51	65.78	55.00	43.68
L6892A1	46939654	7087887754	0	35855296	76.39	27459770	58.50	4.65	78.79	72.05	65.11	57.05
L6893A1	35105154	5300878254	0	26860514	76.51	20475545	58.33	3.43	75.48	65.74	55.01	43.65
L6894A1	34894764	5269109364	0	27076472	77.59	20834942	59.71	3.54	75.29	65.69	55.47	44.66
L6895A1	37583572	5675119372	0	28666750	76.27	21494356	57.19	3.58	75.83	66.66	56.39	45.38
