Sample	Raw_Reads	Raw_Bases	Trimmed_Bases	Mapped_Reads_BWA	Percentage_Mapped_Reads_BWA	Mapped_Reads_Post_BWA_BBMAP	Mapped_Percentage_Post_BWA_BBMAP	Mosdepth_Avg_Depth	Prop_g_cov_1	Prop_g_cov_2	Prop_g_cov_3	Prop_g_cov_4
SRR26416948	9232006	1384800900	0	5724569	62.01	4753304	51.49	1.11	0.00	0.00	0.00	0.00
SRR26416959	15657390	2348608500	0	9736734	62.19	8013267	51.18	1.90	0.00	0.00	0.00	0.00
SRR26416970	14015702	2102355300	0	8812880	62.88	7065373	50.41	1.68	0.00	0.00	0.00	0.00
SRR26416995	19621308	2943196200	0	12272091	62.54	10315457	52.57	2.48	0.00	0.00	0.00	0.00
SRR26416996	11071782	1660767300	0	6880341	62.14	5596534	50.55	1.32	0.00	0.00	0.00	0.00
SRR26416997	24161784	3624267600	0	15132758	62.63	12770865	52.86	3.08	0.00	0.00	0.00	0.00
SRR26416998	16649914	2497487100	0	10453437	62.78	8987131	53.98	2.17	0.00	0.00	0.00	0.00
SRR26416999	12879472	1931920800	0	8015610	62.24	6349167	49.30	1.50	0.00	0.00	0.00	0.00
SRR26417000	8795482	1319322300	0	5600755	63.68	4513508	51.32	1.08	52.98	26.76	11.97	5.08
SRR26417001	17922076	2688311400	0	11156351	62.25	8678862	48.43	2.04	70.54	48.78	30.70	18.06
SRR26417002	19061178	2859176700	0	11708419	61.43	9638772	50.57	2.31	73.89	53.67	35.59	21.86
SRR26417003	22073164	3310974600	0	13947184	63.19	10667228	48.33	2.52	75.83	57.59	40.04	25.78
SRR26417006	1864004	279600600	0	1111890	59.65	693426	37.20	0.14	9.37	3.27	0.52	0.16
SRR26417017	11760150	1764022500	0	7287357	61.97	5791253	49.24	1.35	59.89	34.32	17.52	8.38
SRR26417020	20750922	3112638300	0	13103811	63.15	10840385	52.24	2.61	74.19	55.55	39.11	26.25
SRR26417021	10177222	1526583300	0	5904777	58.02	4025779	39.56	0.91	40.88	21.62	10.29	5.21
SRR26417022	12105920	1815888000	0	7375803	60.93	5226784	43.18	1.19	50.89	28.69	14.91	7.73
SRR26417023	19911140	2986671000	0	12044885	60.49	8431514	42.35	1.99	62.57	42.28	27.36	17.48
SRR26417024	23063938	3459590700	0	14275754	61.90	11472236	49.74	2.73	73.30	55.30	39.94	27.92
SRR26417025	12499568	1874935200	0	7902069	63.22	6384861	51.08	1.51	63.09	38.14	20.63	10.37
SRR26417026	13205460	1980819000	0	8306840	62.90	6774302	51.30	1.62	62.96	39.24	22.42	12.12
SRR26417027	20574432	3086164800	0	12803855	62.23	10788211	52.44	2.63	73.26	54.39	38.40	26.09
SRR26417028	35416480	5312472000	0	22197164	62.67	18394799	51.94	4.39	84.43	74.42	63.24	51.28
SRR26417029	23410160	3511524000	0	14895340	63.63	11994474	51.24	2.85	78.27	61.91	45.36	30.89
SRR26417030	17399288	2609893200	0	10844705	62.33	9209443	52.93	2.20	73.42	52.37	33.87	20.25
SRR26417031	15739438	2360915700	0	9876079	62.75	7939021	50.44	1.89	68.20	45.65	27.82	15.81
SRR26417032	17391702	2608755300	0	10729181	61.69	8329093	47.89	1.96	68.18	46.25	28.92	17.09
SRR26417033	12135324	1820298600	0	7591884	62.56	5767301	47.52	1.35	57.26	33.29	17.57	8.88
SRR26417034	17107700	2566155000	0	10639883	62.19	9201727	53.79	2.21	73.50	52.52	33.95	20.25
SRR26417035	23105150	3465772500	0	14593459	63.16	11905375	51.53	2.85	78.61	62.14	45.35	30.66
SRR26417036	9092314	1363847100	0	5664427	62.30	4575743	50.33	1.09	53.13	26.92	12.22	5.27
SRR26417037	25964950	3894742500	0	16475376	63.45	13407048	51.64	3.24	79.55	64.49	49.36	35.72
SRR26417038	16862868	2529430200	0	10595607	62.83	8967741	53.18	2.16	69.94	48.88	32.03	19.99
SRR26417039	8291008	1243651200	0	5166766	62.32	4443818	53.60	1.05	52.52	26.20	11.79	5.07
SRR26417040	19968302	2995245300	0	12385406	62.03	10421697	52.19	2.48	76.03	56.97	39.15	24.96
SRR26417041	19488988	2923348200	0	12257386	62.89	10243521	52.56	2.42	75.86	56.67	38.65	24.35
SRR26417043	13294110	1994116500	0	8201252	61.69	7137076	53.69	1.69	66.21	42.44	24.52	13.13
SRR26417044	9478150	1421722500	0	5895612	62.20	4998874	52.74	1.16	56.18	29.71	14.00	6.22
SRR26417045	25016170	3752425500	0	15660031	62.60	12768845	51.04	3.02	79.20	64.17	48.43	33.96
SRR26417046	16899358	2534903700	0	10636682	62.94	9060754	53.62	2.15	73.18	52.65	34.02	20.07
SRR26417047	16611742	2491761300	0	10618474	63.92	8744753	52.64	2.10	70.98	50.08	32.06	19.01
SRR26417048	9614720	1442208000	0	6066099	63.09	5191261	53.99	1.24	57.79	31.55	15.27	6.89
SRR26417053	16860214	2529032100	0	10748587	63.75	8444386	50.08	1.97	70.50	48.47	30.15	17.40
SRR26417066	12136624	1820493600	0	7530783	62.05	6382393	52.59	1.52	63.38	38.16	20.53	10.28
SRR26417146	13924630	2088694500	0	8644892	62.08	7496051	53.83	1.79	68.38	44.68	26.17	14.14
SRR26417173	11123050	1668457500	0	7056826	63.44	5923854	53.26	1.44	60.75	35.85	19.02	9.38
SRR26417184	33229148	4984372200	0	20918878	62.95	17579424	52.90	4.12	83.88	73.63	61.92	49.31
SRR26417185	16141000	2421150000	0	10106771	62.62	7440367	46.10	1.72	66.36	42.79	24.60	13.14
SRR26417186	16188926	2428338900	0	10132015	62.59	7875108	48.65	1.83	68.68	45.66	27.15	14.90
SRR26417187	17268776	2590316400	0	10867022	62.93	8444795	48.90	2.06	70.50	48.65	30.29	17.43
SRR26417188	13628640	2044296000	0	8507267	62.42	6797581	49.88	1.61	64.43	40.20	22.48	11.70
SRR26417189	12959892	1943983800	0	7987037	61.63	6788203	52.38	1.57	63.39	39.26	22.17	11.83
SRR26417190	19973942	2996091300	0	12221552	61.19	10115192	50.64	2.48	74.84	55.67	37.88	23.81
SRR26417191	13753790	2063068500	0	8484380	61.69	6492897	47.21	1.52	61.09	37.18	20.58	10.79
SRR26417192	12381816	1857272400	0	7864943	63.52	6282530	50.74	1.50	62.93	37.77	20.12	9.94
SRR26417193	16758306	2513745900	0	10620137	63.37	8351224	49.83	1.99	70.21	48.26	29.95	17.19
SRR26417194	11990800	1798620000	0	7568807	63.12	6243469	52.07	1.49	62.54	37.42	20.04	10.01
SRR26417195	20328778	3049316700	0	12977174	63.84	10648743	52.38	2.58	76.07	57.79	40.38	26.18
SRR26417196	12203656	1830548400	0	7858867	64.40	6467677	53.00	1.54	64.01	39.18	21.33	10.74
SRR26417197	13314578	1997186700	0	8184185	61.47	6064078	45.54	1.42	56.25	33.64	18.76	10.26
SRR26417198	11641124	1746168600	0	7414172	63.69	6057869	52.04	1.45	61.56	36.36	19.24	9.49
SRR26417200	11696884	1754532600	0	7408492	63.34	6078211	51.96	1.45	61.61	36.45	19.31	9.55
SRR26417201	12737642	1910646300	0	7999910	62.81	6562299	51.52	1.57	63.26	38.66	21.49	11.24
SRR26417202	13736466	2060469900	0	8810634	64.14	6948416	50.58	1.68	65.04	41.13	23.30	12.26
SRR26417203	10999918	1649987700	0	7017930	63.80	5293557	48.12	1.25	55.65	31.06	15.48	7.41
SRR26417204	12115704	1817355600	0	7605679	62.78	5950003	49.11	1.40	59.70	34.95	18.55	9.33
SRR26417205	19401116	2910167400	0	12265774	63.22	9450534	48.71	2.28	72.47	52.16	34.33	21.02
SRR26417206	16660158	2499023700	0	10429336	62.60	8359833	50.18	2.02	66.59	45.10	28.86	17.83
SRR26417218	18338138	2750720700	0	11257454	61.39	9554710	52.10	2.27	74.04	53.82	35.58	21.71
SRR26417257	12407206	1861080900	0	7584371	61.13	6503587	52.42	1.54	63.98	38.82	21.15	10.74
SRR26417292	16513888	2477083200	0	10468001	63.39	8933039	54.09	2.17	73.19	52.21	33.57	19.74
SRR26417303	20841884	3126282600	0	13014793	62.45	10650280	51.10	2.52	76.46	58.02	40.29	25.84
SRR26417313	10329864	1549479600	0	6656078	64.44	5096908	49.34	1.21	55.05	30.24	14.73	6.82
SRR26417314	16945830	2541874500	0	10772826	63.57	8824820	52.08	2.09	72.04	50.83	32.32	18.88
SRR26417315	20087912	3013186800	0	12641178	62.93	9860175	49.09	2.33	73.37	54.01	36.35	22.69
SRR26417316	9458518	1418777700	0	5896819	62.34	4566246	48.28	1.05	51.08	26.45	12.28	5.51
