sample	HALS	HAFR	AGAB	DOLV	CRES	WADD	VENO	BUNN	TOLL	THIS	RYAN	OSTR	BOVA	ORNE	NELL	MOLU	LANG	KLEV	HFJO	BARR	GREV	CORS	PONT	NISS	LOGS	LILL	INNE	HAUG	GASO	FURI	ZECE	CLEW	TRAL
HALS	0	0.06845	0.13687	0.11654	0.23167	0.21023	0.00191	0.02584	0.07262	0.01306	0.11734	0.31483	0.02457	0.01969	0.42975	0.29587	0.03294	0.0141	0.03023	0.07549	0.09421	0.27443	0.14595	0.04001	-0.00368	0.03235	0.11372	0.00721	0.06835	0.00622	0.21674	NA	0.15258
HAFR	0.06845	0	0.11933	0.01643	0.18422	0.21451	0.04623	0.02803	0.07823	0.07264	0.04133	0.29448	0.0263	0.02203	0.41452	0.25388	0.02685	0.0577	0.07241	0.11394	0.02916	0.13127	0.16966	0.00675	0.03433	0.09323	0.07847	0.0223	0.11702	0.07557	0.20168	NA	0.06309
AGAB	0.13687	0.11933	0	0.12198	0.23193	0.2949	0.11067	0.11227	0.16066	0.11812	0.17163	0.13758	0.0961	0.10094	0.47245	0.29922	0.10662	0.11607	0.13449	0.17692	0.17169	0.26245	0.21989	0.1293	0.09499	0.14231	0.04359	0.09553	0.16877	0.12525	0.23534	NA	0.17546
DOLV	0.11654	0.01643	0.12198	0	0.15994	0.22835	0.08907	0.03928	0.10663	0.0864	0.05464	0.29919	0.03547	0.03572	0.41275	0.24126	0.04397	0.08655	0.09129	0.16794	0.05905	0.10175	0.18826	0.03006	0.06358	0.12368	0.10536	0.04657	0.14357	0.10567	0.193	NA	0.04479
CRES	0.23167	0.18422	0.23193	0.15994	0	0.29759	0.20845	0.21406	0.12831	0.20256	0.14095	0.3385	0.18452	0.18631	0.37625	0.05516	0.17023	0.22339	0.23968	0.15253	0.17	0.08379	0.10657	0.15786	0.18992	0.26954	0.21885	0.18447	0.28537	0.22619	0.00349	NA	0.11378
WADD	0.21023	0.21451	0.2949	0.22835	0.29759	0	0.19502	0.22037	0.21367	0.20944	0.2192	0.49217	0.19461	0.19834	0.60123	0.39591	0.19229	0.23042	0.24314	0.23212	0.2029	0.31052	0.28875	0.18507	0.18255	0.25354	0.27671	0.19514	0.29621	0.22603	0.31453	NA	0.20498
VENO	0.00191	0.04623	0.11067	0.08907	0.20845	0.19502	0	0.01392	0.07187	0.00483	0.10136	0.28315	0.01068	0.00861	0.38365	0.26787	0.03053	0.01074	0.02762	0.08663	0.08025	0.24524	0.13497	0.04001	-0.01927	0.0177	0.10889	0.00923	0.04267	-0.00709	0.20199	NA	0.13968
BUNN	0.02584	0.02803	0.11227	0.03928	0.21406	0.22037	0.01392	0	0.08888	0.0325	0.10037	0.31353	-0.00782	0.00567	0.42754	0.28543	0.00305	0.01091	0.02328	0.11796	0.08564	0.21626	0.17044	0.03895	0.0052	0.02117	0.10927	-0.00466	0.0517	0.02364	0.22371	NA	0.11726
TOLL	0.07262	0.07823	0.16066	0.10663	0.12831	0.21367	0.07187	0.08888	0	0.07805	0.04303	0.3027	0.07751	0.06907	0.35708	0.1943	0.07193	0.08672	0.1048	0.00757	0.07292	0.15544	0.03371	0.04942	0.05557	0.11522	0.13321	0.06617	0.13449	0.07273	0.12666	NA	0.0513
THIS	0.01306	0.07264	0.11812	0.0864	0.20256	0.20944	0.00483	0.0325	0.07805	0	0.11416	0.28742	0.02559	0.02089	0.40011	0.26666	0.03996	0.03114	0.03876	0.1022	0.10529	0.25344	0.13725	0.05976	0.00103	0.03845	0.12816	0.02373	0.06317	0.0027	0.19048	NA	0.13455
RYAN	0.11734	0.04133	0.17163	0.05464	0.14095	0.2192	0.10136	0.10037	0.04303	0.11416	0	0.31305	0.09018	0.08285	0.37676	0.20765	0.08464	0.1288	0.14167	0.07316	0.01802	0.06237	0.11168	0.01056	0.08938	0.16452	0.11206	0.08038	0.19303	0.13329	0.15946	NA	-0.00295
OSTR	0.31483	0.29448	0.13758	0.29919	0.3385	0.49217	0.28315	0.31353	0.3027	0.28742	0.31305	0	0.28235	0.26896	0.66534	0.43827	0.2699	0.30605	0.31016	0.30697	0.32505	0.37764	0.3593	0.29419	0.28012	0.34506	0.18065	0.27012	0.36579	0.31572	0.33843	NA	0.30658
BOVA	0.02457	0.0263	0.0961	0.03547	0.18452	0.19461	0.01068	-0.00782	0.07751	0.02559	0.09018	0.28235	0	-0.00391	0.39598	0.25506	0.01112	0.00471	0.02036	0.11656	0.07961	0.20403	0.15076	0.03365	0.00244	0.02527	0.09699	0.01075	0.04348	0.01472	0.19181	NA	0.09871
ORNE	0.01969	0.02203	0.10094	0.03572	0.18631	0.19834	0.00861	0.00567	0.06907	0.02089	0.08285	0.26896	-0.00391	0	0.37806	0.24962	-0.00556	0.00113	0.00604	0.09258	0.07512	0.2019	0.13816	0.03482	0.00613	0.01171	0.09459	-0.00784	0.03599	0.02167	0.18847	NA	0.10786
NELL	0.42975	0.41452	0.47245	0.41275	0.37625	0.60123	0.38365	0.42754	0.35708	0.40011	0.37676	0.66534	0.39598	0.37806	0	0.5025	0.37763	0.41853	0.43644	0.37339	0.42298	0.43596	0.39646	0.37928	0.38405	0.46318	0.46335	0.37679	0.50058	0.43457	0.38074	NA	0.35253
MOLU	0.29587	0.25388	0.29922	0.24126	0.05516	0.39591	0.26787	0.28543	0.1943	0.26666	0.20765	0.43827	0.25506	0.24962	0.5025	0	0.24566	0.2859	0.31493	0.22643	0.23948	0.16878	0.17341	0.22349	0.25639	0.34517	0.2938	0.25559	0.36155	0.2944	0.06687	NA	0.17728
LANG	0.03294	0.02685	0.10662	0.04397	0.17023	0.19229	0.03053	0.00305	0.07193	0.03996	0.08464	0.2699	0.01112	-0.00556	0.37763	0.24566	0	0.02171	0.02472	0.10275	0.07931	0.19445	0.12362	0.03864	0.01381	0.02654	0.10704	0.01223	0.04941	0.03221	0.17701	NA	0.08519
KLEV	0.0141	0.0577	0.11607	0.08655	0.22339	0.23042	0.01074	0.01091	0.08672	0.03114	0.1288	0.30605	0.00471	0.00113	0.41853	0.2859	0.02171	0	0.00709	0.10036	0.11977	0.2672	0.14994	0.0617	0.00383	0.00672	0.11921	0.00397	0.02781	0.01844	0.21486	NA	0.15534
HFJO	0.03023	0.07241	0.13449	0.09129	0.23968	0.24314	0.02762	0.02328	0.1048	0.03876	0.14167	0.31016	0.02036	0.00604	0.43644	0.31493	0.02472	0.00709	0	0.12355	0.124	0.28142	0.17583	0.07906	0.02525	0.01034	0.13602	0.00918	0.01627	0.02899	0.23137	NA	0.16883
BARR	0.07549	0.11394	0.17692	0.16794	0.15253	0.23212	0.08663	0.11796	0.00757	0.1022	0.07316	0.30697	0.11656	0.09258	0.37339	0.22643	0.10275	0.10036	0.12355	0	0.09261	0.1931	0.04302	0.08436	0.06862	0.13741	0.15016	0.09732	0.14224	0.09065	0.13506	NA	0.10309
GREV	0.09421	0.02916	0.17169	0.05905	0.17	0.2029	0.08025	0.08564	0.07292	0.10529	0.01802	0.32505	0.07961	0.07512	0.42298	0.23948	0.07931	0.11977	0.124	0.09261	0	0.11409	0.14982	0.00711	0.06788	0.14397	0.11244	0.06223	0.16847	0.11264	0.1953	NA	0.03744
CORS	0.27443	0.13127	0.26245	0.10175	0.08379	0.31052	0.24524	0.21626	0.15544	0.25344	0.06237	0.37764	0.20403	0.2019	0.43596	0.16878	0.19445	0.2672	0.28142	0.1931	0.11409	0	0.19053	0.10964	0.21489	0.32082	0.20019	0.20714	0.3472	0.28149	0.14021	NA	0.02388
PONT	0.14595	0.16966	0.21989	0.18826	0.10657	0.28875	0.13497	0.17044	0.03371	0.13725	0.11168	0.3593	0.15076	0.13816	0.39646	0.17341	0.12362	0.14994	0.17583	0.04302	0.14982	0.19053	0	0.12804	0.12333	0.18396	0.20168	0.13195	0.21882	0.15164	0.08481	NA	0.11222
NISS	0.04001	0.00675	0.1293	0.03006	0.15786	0.18507	0.04001	0.03895	0.04942	0.05976	0.01056	0.29419	0.03365	0.03482	0.37928	0.22349	0.03864	0.0617	0.07906	0.08436	0.00711	0.10964	0.12804	0	0.01964	0.09944	0.08379	0.03223	0.11767	0.06184	0.17451	NA	0.04417
LOGS	-0.00368	0.03433	0.09499	0.06358	0.18992	0.18255	-0.01927	0.0052	0.05557	0.00103	0.08938	0.28012	0.00244	0.00613	0.38405	0.25639	0.01381	0.00383	0.02525	0.06862	0.06788	0.21489	0.12333	0.01964	0	0.02621	0.09721	0.00268	0.06158	-0.014	0.18423	NA	0.11382
LILL	0.03235	0.09323	0.14231	0.12368	0.26954	0.25354	0.0177	0.02117	0.11522	0.03845	0.16452	0.34506	0.02527	0.01171	0.46318	0.34517	0.02654	0.00672	0.01034	0.13741	0.14397	0.32082	0.18396	0.09944	0.02621	0	0.15759	0.02054	0.03016	0.02708	0.25603	NA	0.18774
INNE	0.11372	0.07847	0.04359	0.10536	0.21885	0.27671	0.10889	0.10927	0.13321	0.12816	0.11206	0.18065	0.09699	0.09459	0.46335	0.2938	0.10704	0.11921	0.13602	0.15016	0.11244	0.20019	0.20168	0.08379	0.09721	0.15759	0	0.09007	0.1724	0.13	0.22995	NA	0.13159
