sample	HALS	HAFR	AGAB	DOLV	CRES	WADD	VENO	BUNN	TOLL	THIS	RYAN	OSTR	BOVA	ORNE	NELL	MOLU	LANG	KLEV	HFJO	BARR	GREV	CORS	PONT	NISS	LOGS	LILL	INNE	HAUG	GASO	FURI	ZECE	CLEW	TRAL
HALS	0	0.07318	0.13139	0.1314	0.26868	0.1868	0.00191	0.02596	0.07993	0.01348	0.12388	0.25489	0.02655	0.02112	0.33826	0.25774	0.03377	0.01419	0.03045	0.07505	0.09415	0.30146	0.13971	0.04534	-0.0038	0.0317	0.11524	0.00781	0.06417	0.00618	0.22689	NA	0.15281
HAFR	0.07318	0	0.11024	0.01647	0.17259	0.18649	0.04443	0.02657	0.07553	0.06865	0.04124	0.24695	0.02594	0.02178	0.29801	0.23007	0.02686	0.05355	0.06907	0.10721	0.02961	0.15339	0.15253	0.00679	0.03335	0.07952	0.07477	0.02207	0.09387	0.07159	0.1903	NA	0.06855
AGAB	0.13139	0.11024	0	0.1224	0.22964	0.257	0.10851	0.10696	0.1571	0.11215	0.15807	0.12092	0.09271	0.09609	0.35638	0.27491	0.10514	0.10983	0.12513	0.16657	0.16526	0.29945	0.19862	0.12405	0.0928	0.12751	0.04342	0.09117	0.14238	0.11703	0.21056	NA	0.17655
DOLV	0.1314	0.01647	0.1224	0	0.1481	0.1898	0.07854	0.03489	0.09854	0.07741	0.05271	0.25381	0.03404	0.0339	0.28408	0.20775	0.04119	0.07487	0.08731	0.14637	0.05585	0.11044	0.16077	0.02946	0.05752	0.09761	0.09876	0.04405	0.10739	0.09551	0.18016	NA	0.04688
CRES	0.26868	0.17259	0.22964	0.1481	0	0.2333	0.16186	0.16665	0.11263	0.16411	0.12473	0.28015	0.16107	0.15861	0.25158	0.04663	0.14022	0.17234	0.21403	0.12439	0.14189	0.07986	0.08873	0.14147	0.15221	0.18888	0.19273	0.15735	0.19233	0.18985	0.00339	NA	0.10504
WADD	0.1868	0.18649	0.257	0.1898	0.2333	0	0.19161	0.205	0.21362	0.19296	0.19755	0.38718	0.18109	0.18044	0.4416	0.35983	0.18673	0.21235	0.22121	0.21858	0.19759	0.36713	0.25589	0.17469	0.17569	0.22874	0.25453	0.17779	0.25028	0.20391	0.27179	NA	0.20834
VENO	0.00191	0.04443	0.10851	0.07854	0.16186	0.19161	0	0.01366	0.07129	0.00476	0.10138	0.21771	0.01074	0.00868	0.30198	0.23623	0.03043	0.01052	0.02554	0.0833	0.07856	0.25565	0.1242	0.04185	-0.01947	0.01682	0.10131	0.00933	0.03913	-0.00658	0.20151	NA	0.13733
BUNN	0.02596	0.02657	0.10696	0.03489	0.16665	0.205	0.01366	0	0.09049	0.0321	0.10021	0.24797	-0.00811	0.0058	0.35224	0.25507	0.00304	0.01085	0.02243	0.11139	0.08212	0.24423	0.15706	0.04097	0.00518	0.02006	0.10502	-0.0048	0.04646	0.02257	0.21612	NA	0.11077
TOLL	0.07993	0.07553	0.1571	0.09854	0.11263	0.21362	0.07129	0.09049	0	0.07209	0.04379	0.25097	0.07404	0.06636	0.24574	0.18095	0.07031	0.07759	0.09601	0.00743	0.07279	0.17856	0.03139	0.04993	0.05286	0.09584	0.1233	0.06384	0.10505	0.06517	0.13106	NA	0.05877
THIS	0.01348	0.06865	0.11215	0.07741	0.16411	0.19296	0.00476	0.0321	0.07209	0	0.11007	0.23134	0.02562	0.02086	0.31802	0.24265	0.03978	0.03046	0.03696	0.09801	0.10201	0.27971	0.12843	0.06027	0.00103	0.03541	0.12066	0.02367	0.05493	0.00262	0.17951	NA	0.13197
RYAN	0.12388	0.04124	0.15807	0.05271	0.12473	0.19755	0.10138	0.10021	0.04379	0.11007	0	0.24509	0.0854	0.07955	0.28474	0.18525	0.07998	0.11527	0.12501	0.06871	0.01775	0.07065	0.10355	0.01051	0.08303	0.13296	0.10114	0.07727	0.14829	0.12165	0.14768	NA	-0.0031
OSTR	0.25489	0.24695	0.12092	0.25381	0.28015	0.38718	0.21771	0.24797	0.25097	0.23134	0.24509	0	0.26333	0.25937	0.47084	0.42226	0.27853	0.29041	0.27138	0.30375	0.32939	0.45702	0.32868	0.27826	0.27983	0.31463	0.16569	0.26076	0.31292	0.27997	0.33276	NA	0.34124
BOVA	0.02655	0.02594	0.09271	0.03404	0.16107	0.18109	0.01074	-0.00811	0.07404	0.02562	0.0854	0.26333	0	-0.00392	0.29304	0.23147	0.01123	0.00452	0.01967	0.11	0.07865	0.22733	0.13785	0.03309	0.00242	0.02234	0.09132	0.01071	0.03616	0.01461	0.17884	NA	0.10341
