"sample_id","cleaned_id","species"
"unclassified-kra_SRR26416933_","SRR26416933","Oedulis"
"unclassified-kra_SRR26416934_","SRR26416934","Oedulis"
"unclassified-kra_SRR26416935_","SRR26416935","Oedulis"
"unclassified-kra_SRR26416936_","SRR26416936","Oedulis"
"unclassified-kra_SRR26416938_","SRR26416938","Oedulis"
"unclassified-kra_SRR26416940_","SRR26416940","Oedulis"
"unclassified-kra_SRR26416941_","SRR26416941","Oedulis"
"unclassified-kra_SRR26416943_","SRR26416943","Oedulis"
"unclassified-kra_SRR26416946_","SRR26416946","Oedulis"
"unclassified-kra_SRR26416948_","SRR26416948","Oedulis"
"unclassified-kra_SRR26416950_","SRR26416950","Oedulis"
"unclassified-kra_SRR26416951_","SRR26416951","Oedulis"
"unclassified-kra_SRR26416953_","SRR26416953","Oedulis"
"unclassified-kra_SRR26416958_","SRR26416958","Oedulis"
"unclassified-kra_SRR26416959_","SRR26416959","Oedulis"
"unclassified-kra_SRR26416960_","SRR26416960","Oedulis"
"unclassified-kra_SRR26416961_","SRR26416961","Oedulis"
"unclassified-kra_SRR26416965_","SRR26416965","Oedulis"
"unclassified-kra_SRR26416967_","SRR26416967","Oedulis"
"unclassified-kra_SRR26416968_","SRR26416968","Oedulis"
"unclassified-kra_SRR26416969_","SRR26416969","Oedulis"
"unclassified-kra_SRR26416970_","SRR26416970","Oedulis"
"unclassified-kra_SRR26416971_","SRR26416971","Oedulis"
"unclassified-kra_SRR26416972_","SRR26416972","Oedulis"
"unclassified-kra_SRR26416979_","SRR26416979","Oedulis"
"unclassified-kra_SRR26416983_","SRR26416983","Oedulis"
"unclassified-kra_SRR26416985_","SRR26416985","Oedulis"
"unclassified-kra_SRR26416991_","SRR26416991","Oedulis"
"unclassified-kra_SRR26416994_","SRR26416994","Oedulis"
"unclassified-kra_SRR26416995_","SRR26416995","Oedulis"
"unclassified-kra_SRR26416996_","SRR26416996","Oedulis"
"unclassified-kra_SRR26416997_","SRR26416997","Oedulis"
"unclassified-kra_SRR26416998_","SRR26416998","Oedulis"
"unclassified-kra_SRR26416999_","SRR26416999","Oedulis"
"unclassified-kra_SRR26417000_","SRR26417000","Oedulis"
"unclassified-kra_SRR26417001_","SRR26417001","Oedulis"
"unclassified-kra_SRR26417002_","SRR26417002","Oedulis"
"unclassified-kra_SRR26417008_","SRR26417008","Oedulis"
"unclassified-kra_SRR26417010_","SRR26417010","Oedulis"
"unclassified-kra_SRR26417011_","SRR26417011","Oedulis"
"unclassified-kra_SRR26417015_","SRR26417015","Oedulis"
"unclassified-kra_SRR26417016_","SRR26417016","Oedulis"
"unclassified-kra_SRR26417017_","SRR26417017","Oedulis"
"unclassified-kra_SRR26417018_","SRR26417018","Oedulis"
"unclassified-kra_SRR26417022_","SRR26417022","Oedulis"
"unclassified-kra_SRR26417024_","SRR26417024","Oedulis"
"unclassified-kra_SRR26417025_","SRR26417025","Oedulis"
"unclassified-kra_SRR26417030_","SRR26417030","Oedulis"
"unclassified-kra_SRR26417032_","SRR26417032","Oedulis"
"unclassified-kra_SRR26417033_","SRR26417033","Oedulis"
"unclassified-kra_SRR26417035_","SRR26417035","Oedulis"
"unclassified-kra_SRR26417039_","SRR26417039","Oedulis"
"unclassified-kra_SRR26417043_","SRR26417043","Oedulis"
"unclassified-kra_SRR26417044_","SRR26417044","Oedulis"
"unclassified-kra_SRR26417045_","SRR26417045","Oedulis"
"unclassified-kra_SRR26417046_","SRR26417046","Oedulis"
"unclassified-kra_SRR26417048_","SRR26417048","Oedulis"
"unclassified-kra_SRR26417052_","SRR26417052","Oedulis"
"unclassified-kra_SRR26417055_","SRR26417055","Oedulis"
"unclassified-kra_SRR26417058_","SRR26417058","Oedulis"
"unclassified-kra_SRR26417059_","SRR26417059","Oedulis"
"unclassified-kra_SRR26417060_","SRR26417060","Oedulis"
"unclassified-kra_SRR26417062_","SRR26417062","Oedulis"
"unclassified-kra_SRR26417063_","SRR26417063","Oedulis"
"unclassified-kra_SRR26417064_","SRR26417064","Oedulis"
"unclassified-kra_SRR26417065_","SRR26417065","Oedulis"
"unclassified-kra_SRR26417071_","SRR26417071","Oedulis"
"unclassified-kra_SRR26417077_","SRR26417077","Oedulis"
"unclassified-kra_SRR26417081_","SRR26417081","Oedulis"
"unclassified-kra_SRR26417083_","SRR26417083","Oedulis"
"unclassified-kra_SRR26417084_","SRR26417084","Oedulis"
"unclassified-kra_SRR26417085_","SRR26417085","Oedulis"
"unclassified-kra_SRR26417094_","SRR26417094","Oedulis"
"unclassified-kra_SRR26417095_","SRR26417095","Oedulis"
"unclassified-kra_SRR26417096_","SRR26417096","Oedulis"
"unclassified-kra_SRR26417100_","SRR26417100","Oedulis"
"unclassified-kra_SRR26417101_","SRR26417101","Oedulis"
"unclassified-kra_SRR26417106_","SRR26417106","Oedulis"
"unclassified-kra_SRR26417107_","SRR26417107","Oedulis"
"unclassified-kra_SRR26417108_","SRR26417108","Oedulis"
"unclassified-kra_SRR26417109_","SRR26417109","Oedulis"
"unclassified-kra_SRR26417110_","SRR26417110","Oedulis"
"unclassified-kra_SRR26417112_","SRR26417112","Oedulis"
"unclassified-kra_SRR26417115_","SRR26417115","Oedulis"
"unclassified-kra_SRR26417118_","SRR26417118","Oedulis"
"unclassified-kra_SRR26417119_","SRR26417119","Oedulis"
"unclassified-kra_SRR26417123_","SRR26417123","Oedulis"
"unclassified-kra_SRR26417124_","SRR26417124","Oedulis"
"unclassified-kra_SRR26417125_","SRR26417125","Oedulis"
"unclassified-kra_SRR26417126_","SRR26417126","Oedulis"
"unclassified-kra_SRR26417128_","SRR26417128","Oedulis"
"unclassified-kra_SRR26417132_","SRR26417132","Oedulis"
"unclassified-kra_SRR26417134_","SRR26417134","Oedulis"
"unclassified-kra_SRR26417139_","SRR26417139","Oedulis"
"unclassified-kra_SRR26417142_","SRR26417142","Oedulis"
"unclassified-kra_SRR26417143_","SRR26417143","Oedulis"
"unclassified-kra_SRR26417145_","SRR26417145","Oedulis"
"unclassified-kra_SRR26417151_","SRR26417151","Oedulis"
"unclassified-kra_SRR26417154_","SRR26417154","Oedulis"
"unclassified-kra_SRR26417155_","SRR26417155","Oedulis"
"unclassified-kra_SRR26417156_","SRR26417156","Oedulis"
"unclassified-kra_SRR26417157_","SRR26417157","Oedulis"
"unclassified-kra_SRR26417158_","SRR26417158","Oedulis"
"unclassified-kra_SRR26417160_","SRR26417160","Oedulis"
"unclassified-kra_SRR26417165_","SRR26417165","Oedulis"
"unclassified-kra_SRR26417167_","SRR26417167","Oedulis"
"unclassified-kra_SRR26417170_","SRR26417170","Oedulis"
"unclassified-kra_SRR26417171_","SRR26417171","Oedulis"
"unclassified-kra_SRR26417172_","SRR26417172","Oedulis"
"unclassified-kra_SRR26417173_","SRR26417173","Oedulis"
"unclassified-kra_SRR26417174_","SRR26417174","Oedulis"
"unclassified-kra_SRR26417179_","SRR26417179","Oedulis"
"unclassified-kra_SRR26417181_","SRR26417181","Oedulis"
