"sample_id","cleaned_id","species"
"SRR26416937","SRR26416937","Oedulis"
"SRR26416938","SRR26416938","Oedulis"
"SRR26416939","SRR26416939","Oedulis"
"SRR26416940","SRR26416940","Oedulis"
"SRR26416941","SRR26416941","Oedulis"
"SRR26416943","SRR26416943","Oedulis"
"SRR26416944","SRR26416944","Oedulis"
"SRR26416945","SRR26416945","Oedulis"
"SRR26416946","SRR26416946","Oedulis"
"SRR26416948","SRR26416948","Oedulis"
"SRR26416959","SRR26416959","Oedulis"
"SRR26416970","SRR26416970","Oedulis"
"SRR26417043","SRR26417043","Oedulis"
"SRR26417044","SRR26417044","Oedulis"
"SRR26417045","SRR26417045","Oedulis"
"SRR26417046","SRR26417046","Oedulis"
"SRR26417047","SRR26417047","Oedulis"
"SRR26417048","SRR26417048","Oedulis"
"SRR26417053","SRR26417053","Oedulis"
"SRR26417091","SRR26417091","Oedulis"
"SRR26417092","SRR26417092","Oedulis"
"SRR26417093","SRR26417093","Oedulis"
"SRR26417094","SRR26417094","Oedulis"
"SRR26417095","SRR26417095","Oedulis"
"SRR26417096","SRR26417096","Oedulis"
"SRR26417097","SRR26417097","Oedulis"
"SRR26417098","SRR26417098","Oedulis"
"SRR26417100","SRR26417100","Oedulis"
"SRR26417101","SRR26417101","Oedulis"
"SRR26417102","SRR26417102","Oedulis"
"SRR26417103","SRR26417103","Oedulis"
"SRR26417104","SRR26417104","Oedulis"
"SRR26417136","SRR26417136","Oedulis"
"SRR26417137","SRR26417137","Oedulis"
"SRR26417139","SRR26417139","Oedulis"
"SRR26417140","SRR26417140","Oedulis"
"SRR26417141","SRR26417141","Oedulis"
"SRR26417142","SRR26417142","Oedulis"
"SRR26417143","SRR26417143","Oedulis"
"SRR26417144","SRR26417144","Oedulis"
"SRR26417146","SRR26417146","Oedulis"
"SRR26417147","SRR26417147","Oedulis"
"SRR26417148","SRR26417148","Oedulis"
"SRR26417149","SRR26417149","Oedulis"
"SRR26417150","SRR26417150","Oedulis"
"SRR26417151","SRR26417151","Oedulis"
"SRR26417173","SRR26417173","Oedulis"
"SRR26417184","SRR26417184","Oedulis"
"SRR26417185","SRR26417185","Oedulis"
"SRR26417186","SRR26417186","Oedulis"
"SRR26417218","SRR26417218","Oedulis"
"SRR26417241","SRR26417241","Oedulis"
"SRR26417242","SRR26417242","Oedulis"
"SRR26417243","SRR26417243","Oedulis"
"SRR26417244","SRR26417244","Oedulis"
"SRR26417246","SRR26417246","Oedulis"
"SRR26417247","SRR26417247","Oedulis"
"SRR26417248","SRR26417248","Oedulis"
"SRR26417249","SRR26417249","Oedulis"
