sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
unclassified-kra_unclassified-seq_ERR9709224__merged.hist	453913033	130063372	12780347	5098506	2908909	1840667	1082797	603590	320064	366152	427106	267326	102633	165799	205712	166303	95868	39944	55593	136844	88763	27737	28698	55800	69695	38718	8741	2814	79159	50400	14932	4435	1773	203	95579	16770	4820	2628	524	4400	58187	23846	12656	4745	789	262	116	37	11	105283
unclassified-kra_unclassified-seq_ERR9709235__merged.hist	505544871	71062244	7593171	3125718	1760584	1106536	760094	373445	319743	365785	338970	167171	87641	144709	179545	109626	63195	48476	102054	63719	41330	12914	49500	96249	27958	15531	3506	9348	78631	39314	11647	3459	8551	25652	56176	3510	1008	548	108	17257	49888	20445	10851	4068	677	224	99	32	9	92195
unclassified-kra_unclassified-seq_ERR9709202__merged.hist	496041820	78410211	8193641	3350235	1896755	1195440	946818	465185	261726	299414	349257	247114	94873	95355	118310	171201	98691	41120	27286	67164	118925	37163	16103	29226	62451	34694	7833	10111	75705	37851	11214	3331	1331	152	76515	16889	4854	2647	528	5906	50926	20870	11077	4152	691	229	101	32	9	83283
unclassified-kra_unclassified-seq_ERR9709209__merged.hist	516501609	59012536	6576793	2736333	1533976	961648	661274	324893	382988	438137	212135	104619	113353	187164	180207	57337	35299	47122	99205	96223	62414	19503	13467	26184	55952	86504	19532	6289	2095	1046	41979	66751	26699	3079	978	60	16	7	79302	20399	6798	2785	1477	553	91	29	969	59914	19970	11981
unclassified-kra_unclassified-seq_ERR9709230__merged.hist	515675781	52220995	5867384	2445738	1376816	865093	718008	352767	244435	279632	326182	194628	74722	95886	118969	157100	90562	37733	31251	76926	97604	30500	13215	12285	26252	84006	39892	12845	4280	2139	20848	41696	54189	6250	1987	123	34	17	89898	4993	1663	680	360	134	21	7675	41402	13799	4598	28652
unclassified-kra_unclassified-seq_ERR9709212__merged.hist	465842112	114217277	11256610	4497101	2578994	1636127	933441	809776	318848	249240	290731	328525	218078	120553	73081	105751	167743	124399	19789	48712	92011	88544	38368	11226	12773	40873	97277	37018	12338	6168	1826	541	89830	41020	13051	814	233	126	24	43323	46595	19095	10134	3799	632	209	93	30	9	97814
unclassified-kra_unclassified-seq_ERR9709246__merged.hist	521430425	55793767	6228191	2592432	1452058	909864	630918	309978	358177	409754	220385	108688	101756	168015	177957	56621	37401	49929	105113	75272	48824	15256	17587	34197	73074	40595	9165	2950	4423	61923	39069	11607	4642	534	169	58922	16939	9238	1846	101	3536	36526	19387	7269	1210	402	179	58	18	65398
unclassified-kra_unclassified-seq_ERR9709203__merged.hist	456614992	130617331	12733637	5060002	2876160	1816479	1077155	529221	296986	339751	396309	242875	93245	119512	148283	185285	106810	44503	27258	67097	126737	76331	33075	9677	11212	35878	85389	48592	16196	8097	2398	711	29508	81199	25835	1613	462	251	49	29091	48948	20059	10646	3991	664	220	97	31	9	93691
unclassified-kra_unclassified-seq_ERR9709219__merged.hist	502308886	75411189	7911340	3238998	1830260	1152362	871346	428104	271860	311007	362781	202044	77569	107810	133764	152738	88048	36685	27257	67094	126733	41878	18146	12959	27691	88611	20007	6442	4168	58363	40938	12163	4864	560	177	68415	19668	10727	2144	118	38	28666	37349	14005	2333	776	347	114	37	69751
unclassified-kra_unclassified-seq_ERR9709216__merged.hist	511240285	52820553	5915496	2464078	1388767	873166	714911	351245	263147	301039	351153	173179	71107	117409	145673	127748	73642	30683	33086	81442	101068	31582	13684	12806	27365	87569	33222	10697	3564	1781	29537	59073	23628	2724	865	53	14	27651	68557	3807	1268	518	274	101	29073	9690	4342	1446	481	56539
unclassified-kra_unclassified-seq_ERR9709243__merged.hist	514269627	55546207	6212665	2587105	1452905	911725	699738	343791	303121	346770	310809	153283	75035	123894	153719	117533	67753	28229	42315	104159	75266	23519	10190	17002	36330	110331	24912	8021	2672	1335	13372	26744	63972	7378	2346	27466	7895	4305	860	46	46568	21603	11466	4298	715	237	105	34	10	75061
unclassified-kra_unclassified-seq_ERR9709251__merged.hist	470419901	136917804	13982255	5671648	3155098	1969386	781886	384151	580266	639086	309430	152602	171581	283308	222354	70748	95474	127454	137288	74745	48482	25628	121734	115371	6785	9914	23595	62919	72929	36463	10803	3208	4682	14047	120930	7557	2171	1183	235	12	35465	49923	26498	9935	1654	550	245	80	25	97066
unclassified-kra_unclassified-seq_ERR9709226__merged.hist	511007387	62051637	6774969	2805144	1572165	985461	583299	286583	432887	418620	202685	99958	127403	210363	127021	40414	60626	80933	103609	56408	36588	11432	45182	87853	5911	18916	45020	31713	10570	5284	36918	47179	18870	2175	691	42	52963	28887	5776	319	105	13781	34824	13058	2175	724	323	106	34	74005
unclassified-kra_unclassified-seq_ERR9709225__merged.hist	520883169	51448823	5890363	2464979	1382195	866627	622722	305952	357589	409081	251198	123884	94082	155344	192741	86200	49690	32707	68856	97847	63467	19832	10965	21321	45560	85766	19365	6235	2077	1037	63994	48448	19378	2234	709	43	11	4548	99216	5511	1836	751	397	148	23	24283	10884	3627	1208	56896
unclassified-kra_unclassified-seq_ERR9709245__merged.hist	492916539	78819699	8328793	3417409	1922866	1207855	809218	397580	337571	386180	337750	166570	98429	162522	201646	101856	58716	53628	112900	61467	39869	25103	97147	28425	5824	18638	44358	70332	23443	11720	3471	1030	41909	63698	20266	1265	362	196	38	24693	49385	20238	10741	4027	670	222	98	31	9	82789
unclassified-kra_unclassified-seq_ERR9709249__merged.hist	451909162	123571357	12126427	4834754	2757050	1744159	1031605	595797	278667	318794	371863	325297	124889	107030	132796	192163	151067	62943	16544	40724	76922	125933	64898	18989	4774	15276	36355	96948	32315	16156	4786	1421	22460	67381	26852	1677	481	261	51	35689	44866	18387	9758	3658	608	201	89	28	8	90618
unclassified-kra_unclassified-seq_ERR9709211__merged.hist	451067329	127655258	12444870	4944909	2826042	1789783	993831	725193	285543	266901	311332	351804	166800	92206	114403	165547	144380	60157	23131	56937	107548	96183	41678	12194	9662	30917	73582	65968	21988	10993	3256	966	37166	74549	23719	1481	424	230	45	40749	45340	18581	9862	3697	615	204	90	29	8	100528
unclassified-kra_unclassified-seq_ERR9709240__merged.hist	506103024	66047395	6997480	2873537	1620741	1019412	744261	365665	250845	286965	334736	165083	78066	128898	159928	87497	50438	51085	107547	58552	37979	11867	44707	86931	27374	15207	3432	1284	75765	37881	11223	3333	1332	152	81485	5091	1462	796	158	4112	48265	19780	10498	3935	654	217	96	31	9	70275
unclassified-kra_unclassified-seq_ERR9709218__merged.hist	497936327	74026044	7705100	3146635	1780492	1121825	853383	419279	247041	282614	329661	201003	77169	117765	146114	143533	82741	34474	27575	67876	125513	39221	16995	15322	32740	70386	15892	5117	3848	53879	46901	13934	5572	641	203	40445	30036	16382	3275	180	59	28124	26227	9834	1638	545	243	80	25	71424
unclassified-kra_unclassified-seq_ERR9709231__merged.hist	506350072	70546118	7592481	3131779	1759766	1104619	665970	327200	415611	475458	230205	113530	119298	196981	205707	65451	47505	63418	126508	68875	44675	13960	33217	64589	56948	31637	7142	19046	60888	30443	9019	2678	11472	34416	58360	3646	1047	570	113	21222	45564	18673	9910	3715	618	205	90	29	8	90365
unclassified-kra_unclassified-seq_ERR9709204__merged.hist	462086044	129591038	12692030	5055475	2894484	1834800	1020127	845154	332778	270296	315292	356279	202771	112091	91068	131780	209029	87094	20349	50090	94614	94153	40798	14522	31031	99298	22421	7219	4361	61057	44001	13073	5228	602	73127	22521	6473	3530	705	38	60943	24975	13256	4970	827	274	122	39	12	97811
unclassified-kra_unclassified-seq_ERR9709215__merged.hist	452927293	129489647	12791240	5116126	2911142	1839528	1145582	562840	309282	353818	412718	334825	128548	107852	133816	193638	147691	61536	24028	59145	111717	116373	50427	14754	8252	26405	62844	89024	29673	14835	4394	1304	22493	67479	45610	2849	818	445	88	20123	56527	23166	12295	4609	767	254	113	36	11	93387
unclassified-kra_unclassified-seq_ERR9709227__merged.hist	495901359	76694964	7967187	3251333	1842588	1161903	889208	436880	255976	292836	341584	230087	88336	95320	118267	168196	96959	40398	27181	66906	126378	39492	17112	8405	17959	57470	81302	26181	8726	4362	1291	382	84428	33035	10510	655	752	16308	3260	180	53662	21991	11672	4376	728	241	107	34	10	76193
unclassified-kra_unclassified-seq_ERR9709228__merged.hist	499900795	72393382	7574836	3098553	1754916	1106236	847811	416541	253488	289990	338264	199373	76544	123023	152639	144462	83277	34698	23682	58294	110110	62649	27147	7942	11848	37914	90144	29028	9675	4836	1432	424	76793	31610	10056	627	179	96	32026	39100	13032	5340	2833	1061	175	14267	20696	6897	2298	50204
