sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
unclassified-kra_SRR26417010_.hist	480427980	77658231	17523259	6248972	3438352	2188727	1648265	1472375	1235659	630185	305120	224369	311941	515065	584834	186082	107270	44694	80969	199309	376472	117646	50979	14916	12224	39116	93096	248257	102042	51020	15116	4490	1795	206	64	3	221870	132037	26406	1466	487	198	104	38	5	0	0	0	0	293791
unclassified-kra_SRR26416998_.hist	469796328	105588233	21232829	7596365	4203020	2662945	1950654	1710895	673664	343567	375443	424249	589836	502676	260119	82764	73899	98653	207689	323583	209890	65589	28421	16506	35271	112868	203116	65409	21802	10900	148521	44129	17650	2035	646	39	10	158634	140813	7821	2606	1067	565	211	34	10	3	0	0	250911
unclassified-kra_SRR26417201_.hist	470061110	101472463	23229084	8148375	4332834	2765115	1618846	1446095	1687130	860435	416602	205457	190472	314500	390212	564659	423613	176504	28079	15286	26195	42885	203702	396088	23298	53879	128232	107275	35757	17877	5296	1572	628	71	129195	239032	68720	37483	7495	415	137	55	28	9	0	0	0	0	0	355004
unclassified-kra_SRR26417351_.hist	491706714	102578851	20412008	7406099	4184446	2646525	2304928	1378504	542785	578754	675100	762862	485122	268175	138771	200809	318525	425222	141190	76869	49860	63931	303674	218994	12881	7155	1614	518	295972	147985	43846	13027	5209	600	189	10	2	222933	136262	7569	2522	1032	547	204	33	10	3	0	0	279036
unclassified-kra_SRR26416967_.hist	476424738	96794182	21352426	7536310	4064164	2597289	1438525	1285016	1727127	880834	426478	210328	167178	276037	342489	495601	447760	186566	29679	16158	19885	32554	154631	300672	117069	65037	154788	53319	17772	8885	2631	780	311	34	128850	231993	66697	36379	7274	403	133	53	27	9	0	0	0	0	0	330639
unclassified-kra_SRR26417230_.hist	455050312	108193147	22567379	8023114	4389936	2788997	1822960	1628427	977804	498679	360172	406993	565844	578045	299120	95173	87221	116437	245131	295619	191752	59921	25965	50486	107882	181579	41000	13202	6915	96810	164758	48954	19580	2257	717	43	11	88590	201361	11185	3727	1526	809	302	49	15	5	0	0	248068
unclassified-kra_SRR26417209_.hist	483929625	98841979	21957267	7763033	4201814	2681149	1613950	1441721	1662402	847824	410496	202446	215007	355010	440475	544055	313630	130678	20788	31084	58715	96124	456589	133603	7858	16476	39212	104565	128970	64484	19105	5675	2269	260	81	288119	82833	45180	9035	500	165	67	34	11	0	0	0	0	0	344478
unclassified-kra_SRR26417311_.hist	496690970	91902153	19701632	7026243	3866493	2465082	1600103	1429352	1500332	765168	370476	182709	246956	407764	505929	389344	224444	93517	20626	50772	95901	157004	363587	106389	8167	26133	62196	165857	88827	44412	13158	3908	1562	179	56	287347	82611	45059	9010	499	165	66	34	11	0	0	0	0	0	339929
unclassified-kra_SRR26417347_.hist	470547774	87592306	19926459	7065014	3845885	2451729	1685744	1505854	1595293	813598	393924	194273	204274	337289	418487	605575	353823	147425	23453	12767	21243	34777	165189	321201	244438	135798	30663	9873	3290	1644	486	143	56	5	408408	92188	26503	14455	2890	159	52	20	9	2	0	0	0	0	0	359868
unclassified-kra_SRR26417076_.hist	460733857	148736498	24825499	9092986	5121378	3218812	2276293	1118376	635630	727160	848211	762447	292724	180815	224343	324637	514941	214558	34133	66922	126407	206947	162513	79664	170231	94571	21353	6875	6296	88153	238239	70787	28313	3265	1037	63	17	8	298948	16607	5534	2267	1202	449	73	23	9	2	0	283993
