sample_name	bam	population	colony
SRR5221635	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221635_minq20.nocig.realigned.bam	BM	C_3870
SRR5221636	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221636_minq20.nocig.realigned.bam	BM	C_3870
SRR5221637	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221637_minq20.nocig.realigned.bam	BM	C_3867
SRR5221638	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221638_minq20.nocig.realigned.bam	BM	C_3867
SRR5221639	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221639_minq20.nocig.realigned.bam	BM	C_3867
SRR5221640	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221640_minq20.nocig.realigned.bam	BM	C_3862
SRR5221641	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221641_minq20.nocig.realigned.bam	BM	C_3862
SRR5221642	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221642_minq20.nocig.realigned.bam	BM	C_3862
SRR5221643	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221643_minq20.nocig.realigned.bam	BM	C_3862
SRR5221644	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221644_minq20.nocig.realigned.bam	BM	C_3858
SRR5221645	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221645_minq20.nocig.realigned.bam	BM	C_3858
SRR5221646	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221646_minq20.nocig.realigned.bam	BM	C_3841
SRR5221647	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221647_minq20.nocig.realigned.bam	BM	C_3841
