genome	family
unclassified-kra_unclassified-seq_ERR9709202__merged	KARM
unclassified-kra_unclassified-seq_ERR9709203__merged	KARM
unclassified-kra_unclassified-seq_ERR9709204__merged	KARM
unclassified-kra_unclassified-seq_ERR9709206__merged	MORE
unclassified-kra_unclassified-seq_ERR9709208__merged	MORE
unclassified-kra_unclassified-seq_ERR9709209__merged	RISO
unclassified-kra_unclassified-seq_ERR9709210__merged	RISO
unclassified-kra_unclassified-seq_ERR9709211__merged	RISO
unclassified-kra_unclassified-seq_ERR9709212__merged	RISO
unclassified-kra_unclassified-seq_ERR9709213__merged	MÅSE
unclassified-kra_unclassified-seq_ERR9709214__merged	MÅSE
unclassified-kra_unclassified-seq_ERR9709215__merged	MÅSE
unclassified-kra_unclassified-seq_ERR9709216__merged	KALI
unclassified-kra_unclassified-seq_ERR9709217__merged	KALI
unclassified-kra_unclassified-seq_ERR9709218__merged	KALI
unclassified-kra_unclassified-seq_ERR9709219__merged	KALM
unclassified-kra_unclassified-seq_ERR9709220__merged	KALM
unclassified-kra_unclassified-seq_ERR9709221__merged	KALM
unclassified-kra_unclassified-seq_ERR9709224__merged	IDEI
unclassified-kra_unclassified-seq_ERR9709225__merged	BLEK
unclassified-kra_unclassified-seq_ERR9709226__merged	BLEK
unclassified-kra_unclassified-seq_ERR9709227__merged	BLEK
unclassified-kra_unclassified-seq_ERR9709228__merged	IDEO
unclassified-kra_unclassified-seq_ERR9709230__merged	IDEO
unclassified-kra_unclassified-seq_ERR9709231__merged	MÅSE
unclassified-kra_unclassified-seq_ERR9709234__merged	MÅSE
unclassified-kra_unclassified-seq_ERR9709235__merged	RISO
unclassified-kra_unclassified-seq_ERR9709236__merged	RISO
unclassified-kra_unclassified-seq_ERR9709238__merged	IDEO
unclassified-kra_unclassified-seq_ERR9709240__merged	KALM
unclassified-kra_unclassified-seq_ERR9709241__merged	KARM
unclassified-kra_unclassified-seq_ERR9709242__merged	KALI
unclassified-kra_unclassified-seq_ERR9709243__merged	KALI
unclassified-kra_unclassified-seq_ERR9709244__merged	KALI
unclassified-kra_unclassified-seq_ERR9709245__merged	BLEK
unclassified-kra_unclassified-seq_ERR9709246__merged	BLEK
unclassified-kra_unclassified-seq_ERR9709247__merged	BLEK
unclassified-kra_unclassified-seq_ERR9709248__merged	IDEI
unclassified-kra_unclassified-seq_ERR9709249__merged	IDEI
unclassified-kra_unclassified-seq_ERR9709251__merged	IDEO
unclassified-kra_unclassified-seq_ERR9709252__merged	RISO
unclassified-kra_unclassified-seq_ERR9709253__merged	RISO
