"","X1","sample_id","population"
"1","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_01.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_01","A"
"2","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_02.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_02","A"
"3","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_03.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_03","A"
"4","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_05.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_05","A"
"5","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_06.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_06","A"
"6","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_08.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_08","A"
"7","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_09.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_09","A"
"8","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_10.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_10","A"
"9","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_12.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_12","A"
"10","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_13.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_13","A"
"11","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_14.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_14","A"
"12","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_15.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_15","A"
"13","/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testMagpie/angsd/realigned/A_16.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam","A_16","A"
