"SRA accession code","Individual ID","Latitude (°)","Longitude (°)","Collection date","Herbarium/ Collector","Sample age class","Extraction method","Lib prep method","Sequencing platform and chemistry","Spatial group assignment","Population assignmnent","reason if excluded from final analysis","note"
"ERR3597472","NSB-7",44754723,"-63,671654","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","diffuse","East",NA,NA
"ERR3597473","FLD-5",27374365,"-80,416042","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","FL South","South",NA,NA
"ERR3597474","NSA-1",44908797,"-65,177264","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","Nova Scotia West","East",NA,NA
"ERR3597475","FLD-6",27374365,"-80,416042","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","FL South","South",NA,NA
"ERR3597476","NSA-3",44908797,"-65,177264","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","Nova Scotia West","East",NA,NA
"ERR3597480","FLD-7",27374365,"-80,416042","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","FL South","South",NA,NA
"ERR3597482","NSB-6",44754723,"-63,671654","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","diffuse","East",NA,NA
"ERR3597483","NSA-6",44908797,"-65,177264","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","Nova Scotia West","East",NA,NA
"ERR3597485","MOB-8",38386347,"-90,25932","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","MO St Louis","Mideast",NA,NA
"ERR3597486","FLG-7",2708522,"-81,79497","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","diffuse","South",NA,NA
"ERR3597487","FLG-8",2708522,"-81,79497","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","diffuse","South",NA,NA
"ERR3597488","FLD-1",27374365,"-80,416042","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","FL South","South",NA,NA
"ERR3602084","FLD-4",27374365,"-80,416042","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","FL South","South",NA,NA
"ERR3602086","MOB-4",38386347,"-90,25932","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","MO St Louis","Mideast",NA,NA
"ERR3602088","NSA-7",44908797,"-65,177264","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","Nova Scotia West","East",NA,NA
"ERR3602089","MOB-7",38386347,"-90,25932","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","MO St Louis","Mideast",NA,NA
"ERR3602090","NSA-8",44908797,"-65,177264","2009","Michael Martin","modern","Martin et al., 2014","BEST (Bieker et al., 2020)","HiSeq4000 150x2 bp","Nova Scotia West","East",NA,NA
"ERR7445024","280808-1-18",4472490,"22,42060","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","-","-","Sequencing depth (MAPQ 25) < 0.1",NA
"ERR7445117","280808-1-5",447249,"22,4206","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE100","Orsova, Romania","Europe (Mideast)",NA,NA
"ERR7445121","A-2010-T1-7",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
"ERR7445129","280808-1-24",447249,"22,4206","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE100","Orsova, Romania","Europe (Mideast)",NA,NA
"ERR7445133","280808-1-10",447249,"22,4206","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE100","Orsova, Romania","Europe (Mideast)",NA,NA
"ERR7445134","280808-1-8",447249,"22,4206","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE100","Orsova, Romania","Europe (Mideast)",NA,NA
"ERR7445140","280808-1-3",447249,"22,4206","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE100","Orsova, Romania","Europe (Mideast)",NA,NA
"ERR7445144","280808-1-11",447249,"22,4206","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE100","Orsova, Romania","Europe (Mideast)",NA,NA
"ERR7445154","AA2-4",4983778,"-97,32931","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445189","AA2-1",4983778,"-97,32931","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445199","A-2010-T1-1",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
"ERR7445214","AA20-3",4814689,"-103,57172","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445215","AA16-2",4409456,"-102,87050","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445217","AA3-15",4819453,"-97,32856","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445249","AA3-17",4819453,"-97,32856","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7445272","A-2010-T1-10",4729309,"11,04754","2010","Gerhard Karrer","modern","This study","This study (BEST)","NovaSeq PE150","AU Innsbruck","Europe",NA,NA
