Individual ID;Latitude (°);Longitude (°);Collection date;Herbarium/ Collector;Sample age class;Extraction method;Lib prep method;Sequencing platform and chemistry;SRA accession code;Spatial group assignment;Population assignmnent;reason if excluded from final analysis;note
am-26;47,089574;-94,639893;1889;MASS;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7230466, ERR7235382;diffuse;West;;
bg-101;40,734043;-74,001389;1899;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7385299, ERR7412458;NY/NJ;East;;
bg-105;40,846099;-74,091167;1889;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412482, ERR7412465;NY/NJ;East;;
bg-12;26,943251;-80,582199;1924;NY;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);NovaSeq PE100;ERR7412471;FL South;South;;
bg-15;34,767366;-92,247791;1931;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412452, ERR7412454;diffuse;Mideast;;
bg-16;33,474165;-82,504263;1908;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412453, ERR7412451;diffuse;Mideast;;
bg-17;26,834587;-81,092849;1930;NY;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412495;FL South;South;;
bg-21;29,885989;-84,589291;1920;NY;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412484;diffuse;South;;
bg-29;41,078872;-73,858709;1895;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412469, ERR7412463;NY/NJ;East;;
bg-42;44,379367;-103,729849;1913;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412457, ERR7412456;diffuse;West;;
bg-48;40,644653;-73,695703;1915;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412466, ERR7412467;NY/NJ;East;;
bg-5;40,861758;-73,868065;1904;NY;Herbarium;Martin et al., 2014;NEBNext (Sánchez Barreiro et al., 2017);HiSeq4000 PE150, HiSeqX PE150;ERR3597210, ERR7248455;NY/NJ;East;;
bg-50;40,644653;-73,695188;1915;NY;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412470, ERR7412481;NY/NJ;East;;
