sample_name	species	population	bam
SRR26416938	Norway	HAFR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416938_minq20.nocig.realigned.bam
SRR26416940	Norway	HAFR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416940_minq20.nocig.realigned.bam
SRR26416941	Norway	HAFR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416941_minq20.nocig.realigned.bam
SRR26416943	Norway	HAFR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416943_minq20.nocig.realigned.bam
SRR26416946	Norway	HAFR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416946_minq20.nocig.realigned.bam
SRR26416948	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416948_minq20.nocig.realigned.bam
SRR26416950	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416950_minq20.nocig.realigned.bam
SRR26416951	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416951_minq20.nocig.realigned.bam
SRR26416953	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416953_minq20.nocig.realigned.bam
SRR26416958	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416958_minq20.nocig.realigned.bam
SRR26416959	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416959_minq20.nocig.realigned.bam
SRR26416960	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416960_minq20.nocig.realigned.bam
SRR26416961	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416961_minq20.nocig.realigned.bam
SRR26416970	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416970_minq20.nocig.realigned.bam
SRR26416995	Norway	BUNN	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26416995_minq20.nocig.realigned.bam
SRR26417017	Norway	BUNN	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417017_minq20.nocig.realigned.bam
SRR26417025	Norway	BUNN	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417025_minq20.nocig.realigned.bam
