genome	family
SRR26416937	HAFR
SRR26416938	HAFR
SRR26416939	HAFR
SRR26416940	HAFR
SRR26416941	HAFR
SRR26416943	HAFR
SRR26416944	HAFR
SRR26416945	HAFR
SRR26416946	HAFR
SRR26416948	AGAB
SRR26416959	AGAB
SRR26416970	AGAB
SRR26417043	OSTR
SRR26417044	OSTR
SRR26417045	OSTR
SRR26417046	OSTR
SRR26417047	OSTR
SRR26417048	OSTR
SRR26417053	AGAB
SRR26417091	LANG
SRR26417092	LANG
SRR26417093	LANG
SRR26417094	LANG
SRR26417095	LANG
SRR26417096	LANG
SRR26417097	LANG
SRR26417098	LANG
SRR26417100	LANG
SRR26417101	LANG
SRR26417102	LANG
SRR26417103	LANG
SRR26417104	LANG
SRR26417136	HAUG
SRR26417137	HAUG
SRR26417139	HAFR
SRR26417140	HAFR
SRR26417141	HAFR
SRR26417142	HAFR
SRR26417143	HAFR
SRR26417144	HAFR
SRR26417146	AGAB
SRR26417147	HAFR
SRR26417148	HAFR
SRR26417149	HAFR
SRR26417150	HAFR
SRR26417151	HAFR
SRR26417173	AGAB
SRR26417184	AGAB
SRR26417185	AGAB
SRR26417186	AGAB
SRR26417218	AGAB
SRR26417241	INNE
SRR26417242	INNE
SRR26417243	INNE
SRR26417244	INNE
SRR26417246	INNE
SRR26417247	INNE
SRR26417248	INNE
SRR26417249	INNE
SRR26417250	INNE
SRR26417251	INNE
SRR26417252	INNE
SRR26417253	INNE
SRR26417254	INNE
SRR26417255	INNE
SRR26417257	AGAB
SRR26417258	INNE
SRR26417259	INNE
SRR26417260	INNE
SRR26417261	INNE
SRR26417262	INNE
SRR26417263	INNE
SRR26417264	INNE
SRR26417265	HAUG
SRR26417266	HAUG
SRR26417267	HAUG
SRR26417268	HAUG
SRR26417269	HAUG
SRR26417270	HAUG
SRR26417271	HAUG
SRR26417272	HAUG
SRR26417273	HAUG
SRR26417274	HAUG
SRR26417276	HAUG
SRR26417277	HAUG
SRR26417278	HAUG
SRR26417279	HAUG
SRR26417280	HAUG
SRR26417281	HAUG
SRR26417282	HAUG
SRR26417283	HAUG
SRR26417284	HAUG
SRR26417285	HAUG
SRR26417292	AGAB
SRR26417303	AGAB
SRR26417370	OSTR
SRR26417371	OSTR
SRR26417373	OSTR
SRR26417374	OSTR
SRR26417375	OSTR
SRR26417376	OSTR
SRR26417377	OSTR
SRR26417378	OSTR
SRR26417379	OSTR
SRR26417380	OSTR
SRR26417381	OSTR
SRR26417382	OSTR
SRR26417384	OSTR
SRR26417401	LANG
SRR26417402	LANG
SRR26417403	LANG
SRR26417404	LANG
SRR26417405	LANG
SRR26417407	LANG
SRR26417408	LANG
SRR26417445	VAGS
SRR26417446	VAGS
SRR26417447	VAGS
SRR26417448	VAGS
SRR26417449	VAGS
SRR26417450	VAGS
SRR26417451	VAGS
SRR26417452	VAGS
SRR26417453	VAGS
SRR26417454	VAGS
SRR26417456	VAGS
SRR26417457	VAGS
SRR26417458	VAGS
SRR26417459	VAGS
SRR26417460	VAGS
SRR26417461	VAGS
SRR26417462	VAGS
SRR26417526	NISS
SRR26417588	AGAB
SRR26417599	AGAB
SRR26417608	AGAB
SRR26417619	AGAB
SRR26417631	VAGS
SRR26417632	VAGS
SRR26417633	VAGS
SRR26417635	AGAB
SRR26417636	VAGS
SRR26417674	AGAB
