genome	family
unclassified-kra_SRR26416933_	HALS
unclassified-kra_SRR26416934_	HALS
unclassified-kra_SRR26416935_	HALS
unclassified-kra_SRR26416936_	HALS
unclassified-kra_SRR26416938_	HAFR
unclassified-kra_SRR26416940_	HAFR
unclassified-kra_SRR26416941_	HAFR
unclassified-kra_SRR26416943_	HAFR
unclassified-kra_SRR26416946_	HAFR
unclassified-kra_SRR26416948_	AGAB
unclassified-kra_SRR26416950_	DOLV
unclassified-kra_SRR26416951_	DOLV
unclassified-kra_SRR26416953_	DOLV
unclassified-kra_SRR26416958_	DOLV
unclassified-kra_SRR26416959_	AGAB
unclassified-kra_SRR26416960_	DOLV
unclassified-kra_SRR26416961_	DOLV
unclassified-kra_SRR26416965_	CRES
unclassified-kra_SRR26416967_	CRES
unclassified-kra_SRR26416968_	CRES
unclassified-kra_SRR26416969_	CRES
unclassified-kra_SRR26416970_	AGAB
unclassified-kra_SRR26416971_	WADD
unclassified-kra_SRR26416972_	WADD
unclassified-kra_SRR26416979_	WADD
unclassified-kra_SRR26416983_	VENO
unclassified-kra_SRR26416985_	VENO
unclassified-kra_SRR26416991_	VENO
unclassified-kra_SRR26416994_	VENO
unclassified-kra_SRR26416995_	BUNN
unclassified-kra_SRR26416996_	TOLL
unclassified-kra_SRR26416997_	TOLL
unclassified-kra_SRR26416998_	TOLL
unclassified-kra_SRR26416999_	TOLL
unclassified-kra_SRR26417000_	TOLL
unclassified-kra_SRR26417001_	TOLL
unclassified-kra_SRR26417002_	TOLL
unclassified-kra_SRR26417008_	THIS
unclassified-kra_SRR26417010_	THIS
unclassified-kra_SRR26417011_	THIS
unclassified-kra_SRR26417015_	THIS
unclassified-kra_SRR26417016_	THIS
unclassified-kra_SRR26417017_	BUNN
unclassified-kra_SRR26417018_	THIS
unclassified-kra_SRR26417022_	RYAN
unclassified-kra_SRR26417024_	RYAN
unclassified-kra_SRR26417025_	BUNN
unclassified-kra_SRR26417030_	RYAN
unclassified-kra_SRR26417032_	RYAN
unclassified-kra_SRR26417033_	RYAN
unclassified-kra_SRR26417035_	RYAN
unclassified-kra_SRR26417039_	RYAN
unclassified-kra_SRR26417043_	OSTR
unclassified-kra_SRR26417044_	OSTR
unclassified-kra_SRR26417045_	OSTR
unclassified-kra_SRR26417046_	OSTR
unclassified-kra_SRR26417048_	OSTR
unclassified-kra_SRR26417052_	BOVA
unclassified-kra_SRR26417055_	ORNE
unclassified-kra_SRR26417058_	ORNE
unclassified-kra_SRR26417059_	ORNE
unclassified-kra_SRR26417060_	ORNE
unclassified-kra_SRR26417062_	ORNE
unclassified-kra_SRR26417063_	ORNE
unclassified-kra_SRR26417064_	BOVA
unclassified-kra_SRR26417065_	ORNE
unclassified-kra_SRR26417071_	BOVA
unclassified-kra_SRR26417077_	NELL
unclassified-kra_SRR26417081_	MOLU
unclassified-kra_SRR26417083_	MOLU
unclassified-kra_SRR26417084_	MOLU
unclassified-kra_SRR26417085_	MOLU
unclassified-kra_SRR26417094_	LANG
unclassified-kra_SRR26417095_	LANG
unclassified-kra_SRR26417096_	LANG
unclassified-kra_SRR26417100_	LANG
unclassified-kra_SRR26417101_	LANG
unclassified-kra_SRR26417106_	KLEV
unclassified-kra_SRR26417107_	KLEV
unclassified-kra_SRR26417108_	KLEV
unclassified-kra_SRR26417109_	KLEV
unclassified-kra_SRR26417110_	BOVA
unclassified-kra_SRR26417112_	KLEV
unclassified-kra_SRR26417115_	HFJO
unclassified-kra_SRR26417118_	HFJO
unclassified-kra_SRR26417119_	HFJO
unclassified-kra_SRR26417123_	HFJO
unclassified-kra_SRR26417124_	HFJO
unclassified-kra_SRR26417125_	HFJO
unclassified-kra_SRR26417126_	HFJO
unclassified-kra_SRR26417128_	HFJO
unclassified-kra_SRR26417132_	HFJO
unclassified-kra_SRR26417134_	HFJO
unclassified-kra_SRR26417139_	HAFR
unclassified-kra_SRR26417142_	HAFR
unclassified-kra_SRR26417143_	HAFR
unclassified-kra_SRR26417145_	BARR
unclassified-kra_SRR26417151_	HAFR
unclassified-kra_SRR26417154_	GREV
unclassified-kra_SRR26417155_	GREV
unclassified-kra_SRR26417156_	GREV
unclassified-kra_SRR26417157_	BARR
unclassified-kra_SRR26417158_	GREV
unclassified-kra_SRR26417160_	GREV
unclassified-kra_SRR26417165_	CRES
unclassified-kra_SRR26417167_	CRES
unclassified-kra_SRR26417170_	CRES
unclassified-kra_SRR26417171_	CRES
unclassified-kra_SRR26417172_	CRES
unclassified-kra_SRR26417173_	AGAB
unclassified-kra_SRR26417174_	CRES
unclassified-kra_SRR26417179_	CORS
unclassified-kra_SRR26417181_	CORS
unclassified-kra_SRR26417184_	AGAB
unclassified-kra_SRR26417186_	AGAB
unclassified-kra_SRR26417187_	PONT
unclassified-kra_SRR26417192_	PONT
unclassified-kra_SRR26417193_	NISS
unclassified-kra_SRR26417194_	NISS
unclassified-kra_SRR26417195_	NISS
unclassified-kra_SRR26417197_	NISS
unclassified-kra_SRR26417200_	NISS
unclassified-kra_SRR26417201_	NISS
unclassified-kra_SRR26417204_	NISS
unclassified-kra_SRR26417206_	NISS
unclassified-kra_SRR26417207_	NELL
unclassified-kra_SRR26417209_	NELL
unclassified-kra_SRR26417210_	BOVA
unclassified-kra_SRR26417212_	NELL
unclassified-kra_SRR26417213_	NELL
unclassified-kra_SRR26417220_	LOGS
unclassified-kra_SRR26417221_	LOGS
unclassified-kra_SRR26417222_	LOGS
unclassified-kra_SRR26417227_	LOGS
unclassified-kra_SRR26417229_	BOVA
unclassified-kra_SRR26417231_	LOGS
unclassified-kra_SRR26417236_	LILL
unclassified-kra_SRR26417238_	LILL
unclassified-kra_SRR26417242_	INNE
unclassified-kra_SRR26417243_	INNE
unclassified-kra_SRR26417244_	INNE
unclassified-kra_SRR26417248_	INNE
unclassified-kra_SRR26417249_	INNE
unclassified-kra_SRR26417251_	INNE
unclassified-kra_SRR26417256_	BARR
unclassified-kra_SRR26417257_	AGAB
unclassified-kra_SRR26417258_	INNE
unclassified-kra_SRR26417261_	INNE
unclassified-kra_SRR26417262_	INNE
unclassified-kra_SRR26417263_	INNE
unclassified-kra_SRR26417264_	INNE
unclassified-kra_SRR26417268_	HAUG
unclassified-kra_SRR26417275_	BARR
unclassified-kra_SRR26417276_	HAUG
unclassified-kra_SRR26417277_	HAUG
unclassified-kra_SRR26417278_	HAUG
unclassified-kra_SRR26417279_	HAUG
unclassified-kra_SRR26417281_	HAUG
unclassified-kra_SRR26417284_	HAUG
unclassified-kra_SRR26417286_	BARR
unclassified-kra_SRR26417290_	GASO
unclassified-kra_SRR26417291_	GASO
unclassified-kra_SRR26417293_	GASO
unclassified-kra_SRR26417296_	FURI
unclassified-kra_SRR26417297_	FURI
unclassified-kra_SRR26417298_	FURI
unclassified-kra_SRR26417299_	FURI
unclassified-kra_SRR26417300_	FURI
unclassified-kra_SRR26417302_	FURI
unclassified-kra_SRR26417306_	FURI
unclassified-kra_SRR26417307_	FURI
unclassified-kra_SRR26417308_	DOLV
unclassified-kra_SRR26417309_	DOLV
unclassified-kra_SRR26417310_	DOLV
unclassified-kra_SRR26417311_	DOLV
unclassified-kra_SRR26417316_	ZECE
unclassified-kra_SRR26417317_	ZECE
unclassified-kra_SRR26417318_	ZECE
unclassified-kra_SRR26417319_	ZECE
unclassified-kra_SRR26417321_	ZECE
unclassified-kra_SRR26417323_	ZECE
unclassified-kra_SRR26417326_	ZECE
unclassified-kra_SRR26417328_	WADD
unclassified-kra_SRR26417330_	WADD
unclassified-kra_SRR26417331_	WADD
unclassified-kra_SRR26417333_	CLEW
unclassified-kra_SRR26417336_	WADD
unclassified-kra_SRR26417337_	TRAL
unclassified-kra_SRR26417338_	TRAL
unclassified-kra_SRR26417339_	BUNN
unclassified-kra_SRR26417340_	TRAL
unclassified-kra_SRR26417346_	TRAL
unclassified-kra_SRR26417348_	TRAL
unclassified-kra_SRR26417349_	TOLL
unclassified-kra_SRR26417350_	BUNN
unclassified-kra_SRR26417351_	TOLL
unclassified-kra_SRR26417352_	TOLL
unclassified-kra_SRR26417353_	TOLL
unclassified-kra_SRR26417357_	TOLL
unclassified-kra_SRR26417358_	TOLL
unclassified-kra_SRR26417359_	TOLL
unclassified-kra_SRR26417364_	PONT
unclassified-kra_SRR26417366_	PONT
unclassified-kra_SRR26417367_	PONT
unclassified-kra_SRR26417369_	PONT
unclassified-kra_SRR26417372_	BOVA
unclassified-kra_SRR26417373_	OSTR
unclassified-kra_SRR26417375_	OSTR
unclassified-kra_SRR26417377_	OSTR
unclassified-kra_SRR26417378_	OSTR
unclassified-kra_SRR26417381_	OSTR
unclassified-kra_SRR26417382_	OSTR
unclassified-kra_SRR26417383_	BOVA
unclassified-kra_SRR26417390_	LILL
