Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Locality,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR26416932,WGS,300,1880330700,PRJNA1029395,SAMN37867797,Invertebrate,not applicable,649443735,THE TECHNICAL UNIVERSITY OF DENMARK,Homere,2021,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX22122505,Denmark,Europe,Denmark,not applicable,Illumina HiSeq 2500,220,not applicable,EKDL210007862-1a-AK16179-AK16180,PAIRED,RANDOM,GENOMIC,Hals,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:25:00Z,1,HALS_05,SRP466968,Gills and muscle
SRR26416933,WGS,300,3525663300,PRJNA1029395,SAMN37867796,Invertebrate,not applicable,1261922759,THE TECHNICAL UNIVERSITY OF DENMARK,Homere,2021,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX22122504,Denmark,Europe,Denmark,not applicable,Illumina HiSeq 2500,219,not applicable,EKDL210007862-1a-AK19191-AK18808,PAIRED,RANDOM,GENOMIC,Hals,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,HALS_04,SRP466968,Gills and muscle
SRR26416934,WGS,300,2677495800,PRJNA1029395,SAMN37867795,Invertebrate,not applicable,958883131,THE TECHNICAL UNIVERSITY OF DENMARK,Homere,2021,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX22122503,Denmark,Europe,Denmark,not applicable,Illumina HiSeq 2500,218,not applicable,EKDL210007862-1a-AK19184-AK18843,PAIRED,RANDOM,GENOMIC,Hals,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,HALS_03,SRP466968,Gills and muscle
SRR26416935,WGS,300,3341144100,PRJNA1029395,SAMN37867794,Invertebrate,not applicable,1187052060,THE TECHNICAL UNIVERSITY OF DENMARK,Homere,2021,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX22122502,Denmark,Europe,Denmark,not applicable,Illumina HiSeq 2500,217,not applicable,EKDL210007862-1a-AK19206-AK18829,PAIRED,RANDOM,GENOMIC,Hals,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,HALS_02,SRP466968,Gills and muscle
SRR26416936,WGS,300,4291512900,PRJNA1029395,SAMN37867793,Invertebrate,not applicable,1496037016,THE TECHNICAL UNIVERSITY OF DENMARK,Homere,2021,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX22122501,Denmark,Europe,Denmark,not applicable,Illumina HiSeq 2500,216,not applicable,EKDL210007862-1a-AK19200-AK18813,PAIRED,RANDOM,GENOMIC,Hals,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:29:00Z,1,HALS_01,SRP466968,Gills and muscle
SRR26416937,WGS,300,3012791100,PRJNA1029395,SAMN37867792,Invertebrate,not applicable,1006240599,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX22122500,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,215,not applicable,EKDL200012859-1a-AK11375-AK16261,PAIRED,RANDOM,GENOMIC,Hafrsfjord,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:28:00Z,1,HAFR_25,SRP466968,Gills and muscle
SRR26416938,WGS,300,2294580000,PRJNA1029395,SAMN37867791,Invertebrate,not applicable,791849959,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX22122499,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,214,not applicable,EKDL200012859-1a-AK11416-AK16269,PAIRED,RANDOM,GENOMIC,Hafrsfjord,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:27:00Z,1,HAFR_23,SRP466968,Gills and muscle
SRR26416939,WGS,300,2032958400,PRJNA1029395,SAMN37867790,Invertebrate,not applicable,696998124,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX22122498,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,213,not applicable,EKDL200012859-1a-AK11398-AK16264,PAIRED,RANDOM,GENOMIC,Hafrsfjord,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:27:00Z,1,HAFR_19,SRP466968,Gills and muscle
SRR26416940,WGS,300,1568982000,PRJNA1029395,SAMN37867789,Invertebrate,not applicable,552797847,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX22122497,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,212,not applicable,EKDL210007863-1a-AK23705-AK23706,PAIRED,RANDOM,GENOMIC,Hafrsfjord,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:26:00Z,1,HAFR_18,SRP466968,Gills and muscle
SRR26416941,WGS,300,2081136900,PRJNA1029395,SAMN37867788,Invertebrate,not applicable,733742693,THE TECHNICAL UNIVERSITY OF DENMARK,Stein Mortensen,2020,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX22122496,Norway,Europe,Norway,not applicable,Illumina HiSeq 2500,211,not applicable,EKDL210004788-1a-AK11428-AK16253,PAIRED,RANDOM,GENOMIC,Hafrsfjord,Ostrea edulis,ILLUMINA,2023-10-18T00:00:00Z,2023-10-18T07:27:00Z,1,HAFR_17,SRP466968,Gills and muscle
