sample_name	species	population	bam
CLEW_03	Ostrea_edulis	CLEW	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/CLEW_03_EKDL220000317-1a-AK19153-AK31203_HWHVMDSX2_L1.nocig.dedup_clipoverlap.minq20realigned.bam
HYPP_04	Ostrea_edulis	HYPP	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/HYPP_04_EKDL220000316-1a-AK19284-AK31207_HWHMNDSX2_L4.nocig.dedup_clipoverlap.minq20realigned.bam
HYPP_06	Ostrea_edulis	HYPP	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/HYPP_06_EKDL220000315-1a-AK19202-AK18625_HWHMNDSX2_L1and2Merged.nocig.dedup_clipoverlap.minq20realigned.bam
NISS_08	Ostrea_edulis	NISS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/NISS_08_EKDL220000316-1a-AK19154-AK31214_HWHMNDSX2_L4.nocig.dedup_clipoverlap.minq20realigned.bam
NISS_13	Ostrea_edulis	NISS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/NISS_13_EKDL220000317-1a-AK31212-AK31213_HWHVMDSX2_L1.nocig.dedup_clipoverlap.minq20realigned.bam
ORIS_17	Ostrea_edulis	ORIS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/ORIS_17_EKDL220000315-1a-AK31218-AK31219_HWHMNDSX2_L1and2Merged.nocig.dedup_clipoverlap.minq20realigned.bam
ORIS_19	Ostrea_edulis	ORIS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/ORIS_19_EKDL220000315-1a-AK19073-AK31217_HWHMNDSX2_L1and2Merged.nocig.dedup_clipoverlap.minq20realigned.bam
PONT_03	Ostrea_edulis	PONT	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/PONT_03_EKDL220000315-1a-AK19049-AK31216_HWHMNDSX2_L1and2Merged.nocig.dedup_clipoverlap.minq20realigned.bam
PONT_13	Ostrea_edulis	PONT	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/PONT_13_EKDL220000317-1a-AK31208-AK31209_HWHVMDSX2_L1.nocig.dedup_clipoverlap.minq20realigned.bam
TRAL_19	Ostrea_edulis	TRAL	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/TRAL_19_EKDL220000317-1a-AK19261-AK31202_HWHVMDSX2_L1.nocig.dedup_clipoverlap.minq20realigned.bam
VAGS_06	Ostrea_edulis	VAGS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/VAGS_06_EKDL220000317-1a-AK31205-AK31206_HWHVMDSX2_L1.nocig.dedup_clipoverlap.minq20realigned.bam
VAGS_13	Ostrea_edulis	VAGS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/VAGS_13_EKDL220000316-1a-AK19085-AK31204_HWHMNDSX2_L4.nocig.dedup_clipoverlap.minq20realigned.bam
WADD_12	Ostrea_edulis	WADD	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/WADD_12_EKDL220000316-1a-AK19239-AK22948_HWHMNDSX2_L4.nocig.dedup_clipoverlap.minq20realigned.bam
WADD_13	Ostrea_edulis	WADD	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/bam/WADD_13_EKDL220000317-1a-AK19244-AK31215_HWHVMDSX2_L1.nocig.dedup_clipoverlap.minq20realigned.bam
