sample_name	species	population	bam
ERR9709202	Atlantic Spring Spawning herring	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709202_minq20.nocig.realigned.bam
ERR9709203	Atlantic Spring Spawning herring	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709203_minq20.nocig.realigned.bam
ERR9709204	Atlantic Spring Spawning herring	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709204_minq20.nocig.realigned.bam
ERR9709206	Atlantic Spring Spawning herring	MORE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709206_minq20.nocig.realigned.bam
ERR9709208	Atlantic Spring Spawning herring	MORE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709208_minq20.nocig.realigned.bam
ERR9709209	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709209_minq20.nocig.realigned.bam
ERR9709210	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709210_minq20.nocig.realigned.bam
ERR9709211	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709211_minq20.nocig.realigned.bam
ERR9709212	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709212_minq20.nocig.realigned.bam
ERR9709213	Atlantic Spring Spawning herring	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709213_minq20.nocig.realigned.bam
ERR9709214	Atlantic Spring Spawning herring	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709214_minq20.nocig.realigned.bam
ERR9709215	Atlantic Spring Spawning herring	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709215_minq20.nocig.realigned.bam
ERR9709216	Baltic Spring Spawning herring	KALI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709216_minq20.nocig.realigned.bam
ERR9709217	Baltic Spring Spawning herring	KALI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709217_minq20.nocig.realigned.bam
ERR9709218	Baltic Spring Spawning herring	KALI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709218_minq20.nocig.realigned.bam
ERR9709219	Baltic Spring Spawning herring	KALM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709219_minq20.nocig.realigned.bam
ERR9709220	Baltic Spring Spawning herring	KALM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709220_minq20.nocig.realigned.bam
ERR9709221	Baltic Spring Spawning herring	KALM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709221_minq20.nocig.realigned.bam
ERR9709224	Atlantic Spring Spawning herring	IDEI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709224_minq20.nocig.realigned.bam
ERR9709225	Baltic Spring Spawning herring	BLEK	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709225_minq20.nocig.realigned.bam
ERR9709226	Baltic Spring Spawning herring	BLEK	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/0.5x_realigned/ERR9709226_minq20.nocig.realigned.bam
