sample_name	species	population	bam
ERR9709202	Clupea	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709202_minq20.nocig.realigned.bam
ERR9709203	Clupea	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709203_minq20.nocig.realigned.bam
ERR9709204	Clupea	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709204_minq20.nocig.realigned.bam
ERR9709206	Clupea	MORE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709206_minq20.nocig.realigned.bam
ERR9709208	Clupea	MORE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709208_minq20.nocig.realigned.bam
ERR9709209	Clupea	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709209_minq20.nocig.realigned.bam
ERR9709210	Clupea	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709210_minq20.nocig.realigned.bam
ERR9709211	Clupea	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709211_minq20.nocig.realigned.bam
ERR9709212	Clupea	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709212_minq20.nocig.realigned.bam
ERR9709213	Clupea	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709213_minq20.nocig.realigned.bam
ERR9709214	Clupea	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709214_minq20.nocig.realigned.bam
ERR9709215	Clupea	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709215_minq20.nocig.realigned.bam
ERR9709216	Clupea	KALI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709216_minq20.nocig.realigned.bam
ERR9709217	Clupea	KALI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709217_minq20.nocig.realigned.bam
ERR9709218	Clupea	KALI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709218_minq20.nocig.realigned.bam
ERR9709219	Clupea	KALM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709219_minq20.nocig.realigned.bam
ERR9709220	Clupea	KALM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709220_minq20.nocig.realigned.bam
ERR9709221	Clupea	KALM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709221_minq20.nocig.realigned.bam
ERR9709224	Clupea	IDEI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709224_minq20.nocig.realigned.bam
ERR9709225	Clupea	BLEK	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709225_minq20.nocig.realigned.bam
ERR9709226	Clupea	BLEK	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709226_minq20.nocig.realigned.bam
ERR9709227	Clupea	BLEK	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709227_minq20.nocig.realigned.bam
ERR9709228	Clupea	IDEO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709228_minq20.nocig.realigned.bam
ERR9709230	Clupea	IDEO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709230_minq20.nocig.realigned.bam
ERR9709231	Clupea	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709231_minq20.nocig.realigned.bam
ERR9709234	Clupea	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709234_minq20.nocig.realigned.bam
ERR9709235	Clupea	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709235_minq20.nocig.realigned.bam
ERR9709236	Clupea	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/4x_realigned/ERR9709236_minq20.nocig.realigned.bam
