sample_name	species	population	bam
ERR9709202	Atlantic Spring Spawning herring	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709202.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709203	Atlantic Spring Spawning herring	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709203.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709204	Atlantic Spring Spawning herring	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709204.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709206	Atlantic Spring Spawning herring	MORE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709206.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709208	Atlantic Spring Spawning herring	MORE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709208.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709209	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709209.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709210	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709210.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709211	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709211.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709212	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709212.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709213	Atlantic Spring Spawning herring	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709213.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
