Population	NSites	Estimate	Value	ID
C_3145	212591666	Nucleotide_Diversity	0.00113519818130213	PopGen
C_3152	211256851	Nucleotide_Diversity	9.208654574851e-4	PopGen
C_3154	211340706	Nucleotide_Diversity	8.75507757424896e-4	PopGen
C_3155	211399945	Nucleotide_Diversity	9.12938669929969e-4	PopGen
C_3156	209514409	Nucleotide_Diversity	9.31595228053854e-4	PopGen
C_3160	211707668	Nucleotide_Diversity	9.07855511889441e-4	PopGen
C_3162	205993961	Nucleotide_Diversity	8.12141807100299e-4	PopGen
C_3163	212196877	Nucleotide_Diversity	0.00102257420506244	PopGen
C_3164	211963556	Nucleotide_Diversity	8.57489191309922e-4	PopGen
C_3165	212199381	Nucleotide_Diversity	8.76463601104633e-4	PopGen
C_3169	213417778	Nucleotide_Diversity	0.00127946861730501	PopGen
C_3172	211897540	Nucleotide_Diversity	9.4017691345485e-4	PopGen
C_3173	212197072	Nucleotide_Diversity	8.89796725031779e-4	PopGen
C_3175	212255357	Nucleotide_Diversity	9.39305724696073e-4	PopGen
C_3498	212297215	Nucleotide_Diversity	9.89432508235795e-4	PopGen
C_3504	212021989	Nucleotide_Diversity	0.00101203598413407	PopGen
C_3505	211461140	Nucleotide_Diversity	5.96002628503565e-4	PopGen
C_3507	210702514	Nucleotide_Diversity	6.80676202326717e-4	PopGen
C_3508	207095345	Nucleotide_Diversity	5.39644671763287e-4	PopGen
C_3510	205994257	Nucleotide_Diversity	5.5465885452461e-4	PopGen
C_3516	212035351	Nucleotide_Diversity	9.95754341054186e-4	PopGen
C_3517	211712398	Nucleotide_Diversity	7.64323614608909e-4	PopGen
C_3518	210713899	Nucleotide_Diversity	0.00155852071616755	PopGen
C_3519	212561958	Nucleotide_Diversity	9.98824270233048e-4	PopGen
C_3520	211894018	Nucleotide_Diversity	8.64215691724789e-4	PopGen
C_3521	212186250	Nucleotide_Diversity	9.92528927986848e-4	PopGen
C_3522	211856750	Nucleotide_Diversity	8.69644546911988e-4	PopGen
C_3523	212057193	Nucleotide_Diversity	8.47260184305339e-4	PopGen
C_3525	212084315	Nucleotide_Diversity	8.93320641771262e-4	PopGen
C_3780	211044638	Nucleotide_Diversity	0.00100690219422278	PopGen
C_3800	212056048	Nucleotide_Diversity	9.09583851324239e-4	PopGen
C_3803	212555422	Nucleotide_Diversity	8.83709843259471e-4	PopGen
C_3822	211878696	Nucleotide_Diversity	9.92905536797273e-4	PopGen
C_3824	212018419	Nucleotide_Diversity	9.26803952981567e-4	PopGen
C_3828	211880086	Nucleotide_Diversity	9.0105662028861e-4	PopGen
C_3841	212232912	Nucleotide_Diversity	8.93691541748026e-4	PopGen
C_3858	207118648	Nucleotide_Diversity	5.36363971359691e-4	PopGen
C_3862	213700504	Nucleotide_Diversity	0.00108690706694807	PopGen
C_3867	212551260	Nucleotide_Diversity	9.78600488911122e-4	PopGen
C_3870	206824931	Nucleotide_Diversity	7.02434526320148e-4	PopGen
C_3145	212591666	Watterson_Theta	9.17269536190947e-4	PopGen
C_3152	211256851	Watterson_Theta	7.40742902270812e-4	PopGen
C_3154	211340706	Watterson_Theta	7.07823132111726e-4	PopGen
C_3155	211399945	Watterson_Theta	7.3944220940283e-4	PopGen
C_3156	209514409	Watterson_Theta	7.57945749539349e-4	PopGen
C_3160	211707668	Watterson_Theta	7.35138089250154e-4	PopGen
C_3162	205993961	Watterson_Theta	6.65266083004891e-4	PopGen
C_3163	212196877	Watterson_Theta	8.20822927174035e-4	PopGen
C_3164	211963556	Watterson_Theta	6.90912976438205e-4	PopGen
C_3165	212199381	Watterson_Theta	7.10629323792123e-4	PopGen
C_3169	213417778	Watterson_Theta	9.48623987750815e-4	PopGen
C_3172	211897540	Watterson_Theta	7.62487286130872e-4	PopGen
C_3173	212197072	Watterson_Theta	7.21870251183374e-4	PopGen
C_3175	212255357	Watterson_Theta	7.58388180943415e-4	PopGen
C_3498	212297215	Watterson_Theta	8.04367857292166e-4	PopGen
C_3504	212021989	Watterson_Theta	8.20825577049576e-4	PopGen
C_3505	211461140	Watterson_Theta	4.75373738464042e-4	PopGen
C_3507	210702514	Watterson_Theta	5.49195407193126e-4	PopGen
C_3508	207095345	Watterson_Theta	4.41939104139952e-4	PopGen
C_3510	205994257	Watterson_Theta	4.57009840795023e-4	PopGen
C_3516	212035351	Watterson_Theta	8.06383310202891e-4	PopGen
C_3517	211712398	Watterson_Theta	6.17173735847683e-4	PopGen
C_3518	210713899	Watterson_Theta	0.00127746008535828	PopGen
C_3519	212561958	Watterson_Theta	8.09285778063403e-4	PopGen
C_3520	211894018	Watterson_Theta	6.96125786098245e-4	PopGen
C_3521	212186250	Watterson_Theta	8.01469712385049e-4	PopGen
C_3522	211856750	Watterson_Theta	7.04361960981591e-4	PopGen
