sample_name	bam	population	colony	het
SRR5221635	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221635_minq20.nocig.realigned.bam	unclassified	C_3870	7.728100653400193e-5
SRR5221636	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221636_minq20.nocig.realigned.bam	unclassified	C_3870	7.520527729848231e-5
SRR5221637	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221637_minq20.nocig.realigned.bam	unclassified	C_3867	1.2833982461226575e-4
SRR5221638	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221638_minq20.nocig.realigned.bam	unclassified	C_3867	6.759711358536373e-5
SRR5221639	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221639_minq20.nocig.realigned.bam	unclassified	C_3867	8.920566673567326e-5
SRR5221640	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221640_minq20.nocig.realigned.bam	unclassified	C_3862	7.207314067680302e-5
SRR5221641	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221641_minq20.nocig.realigned.bam	unclassified	C_3862	7.118122507514734e-5
SRR5221642	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221642_minq20.nocig.realigned.bam	unclassified	C_3862	1.5765231745762753e-4
SRR5221643	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221643_minq20.nocig.realigned.bam	unclassified	C_3862	8.60221162692447e-5
SRR5221644	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221644_minq20.nocig.realigned.bam	unclassified	C_3858	1.1550910805948944e-4
SRR5221645	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221645_minq20.nocig.realigned.bam	unclassified	C_3858	9.483915478526789e-5
SRR5221646	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221646_minq20.nocig.realigned.bam	unclassified	C_3841	6.708281553133847e-5
SRR5221647	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221647_minq20.nocig.realigned.bam	unclassified	C_3841	9.140411573451857e-5
SRR5221648	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221648_minq20.nocig.realigned.bam	unclassified	C_3841	1.800986233480558e-4
SRR5221649	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221649_minq20.nocig.realigned.bam	unclassified	C_3828	6.709164117386538e-5
SRR5221650	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221650_minq20.nocig.realigned.bam	unclassified	C_3828	7.205860788518776e-5
SRR5221651	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221651_minq20.nocig.realigned.bam	unclassified	C_3828	1.1020549652303999e-4
SRR5221652	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221652_minq20.nocig.realigned.bam	unclassified	C_3824	8.457396375501311e-5
SRR5221653	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221653_minq20.nocig.realigned.bam	unclassified	C_3824	1.3263545324882956e-4
SRR5221654	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221654_minq20.nocig.realigned.bam	unclassified	C_3824	1.2914637010946734e-4
SRR5221655	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221655_minq20.nocig.realigned.bam	unclassified	C_3822	7.695743361993884e-5
SRR5221656	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221656_minq20.nocig.realigned.bam	unclassified	C_3822	1.0543982974690644e-4
SRR5221657	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221657_minq20.nocig.realigned.bam	unclassified	C_3822	7.605515755869582e-5
SRR5221658	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221658_minq20.nocig.realigned.bam	unclassified	C_3803	8.749275955977992e-5
SRR5221659	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221659_minq20.nocig.realigned.bam	unclassified	C_3803	1.6935049301029198e-4
SRR5221660	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221660_minq20.nocig.realigned.bam	unclassified	C_3803	1.5544009535983227e-4
SRR5221661	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221661_minq20.nocig.realigned.bam	unclassified	C_3800	2.456048845885466e-4
SRR5221662	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221662_minq20.nocig.realigned.bam	unclassified	C_3800	8.52632156534915e-5
SRR5221663	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221663_minq20.nocig.realigned.bam	unclassified	C_3800	1.2483436357229357e-4
SRR5221664	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221664_minq20.nocig.realigned.bam	unclassified	C_3780	1.3165024841597158e-4
SRR5221665	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221665_minq20.nocig.realigned.bam	unclassified	C_3780	1.309593624337736e-4
SRR5221666	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221666_minq20.nocig.realigned.bam	unclassified	C_3780	9.919467645639195e-5
SRR5221667	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221667_minq20.nocig.realigned.bam	unclassified	C_3774	1.6827168323297465e-4
SRR5221668	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221668_minq20.nocig.realigned.bam	unclassified	C_3774	6.954861593454136e-5
SRR5221669	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221669_minq20.nocig.realigned.bam	unclassified	C_3774	1.419045935817811e-4
SRR5221670	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221670_minq20.nocig.realigned.bam	unclassified	C_3525	1.6388967497409305e-4
SRR5221671	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221671_minq20.nocig.realigned.bam	unclassified	C_3525	8.302574714283725e-5
SRR5221672	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221672_minq20.nocig.realigned.bam	unclassified	C_3525	1.1148342700425089e-4
SRR5221673	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221673_minq20.nocig.realigned.bam	unclassified	C_3523	1.3462090075864815e-4
SRR5221674	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221674_minq20.nocig.realigned.bam	unclassified	C_3523	8.47487357655162e-5
SRR5221675	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221675_minq20.nocig.realigned.bam	unclassified	C_3523	9.721743850156821e-5
SRR5221676	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221676_minq20.nocig.realigned.bam	unclassified	C_3522	1.094395159964792e-4
SRR5221677	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221677_minq20.nocig.realigned.bam	unclassified	C_3522	8.904498088173006e-5
