sample_name	species	population	bam
280808-1-10	Ambrosia_artemisiifolia	OrsovaRomania	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/280808-1-10.ragweed2021.realigned.bam
280808-1-11	Ambrosia_artemisiifolia	OrsovaRomania	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/280808-1-11.ragweed2021.realigned.bam
280808-1-12	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/280808-1-12.ragweed2021.realigned.bam
280808-1-16	Ambrosia_artemisiifolia	OrsovaRomania	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/280808-1-16.ragweed2021.realigned.bam
280808-1-17	Ambrosia_artemisiifolia	OrsovaRomania	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/280808-1-17.ragweed2021.realigned.bam
280808-1-24	Ambrosia_artemisiifolia	OrsovaRomania	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/280808-1-24.ragweed2021.realigned.bam
280808-1-3	Ambrosia_artemisiifolia	OrsovaRomania	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/280808-1-3.ragweed2021.realigned.bam
280808-1-5	Ambrosia_artemisiifolia	OrsovaRomania	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/280808-1-5.ragweed2021.realigned.bam
280808-1-8	Ambrosia_artemisiifolia	OrsovaRomania	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/280808-1-8.ragweed2021.realigned.bam
A-2010-T1-10	Ambrosia_artemisiifolia	AUInnsbruck	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/A-2010-T1-10.ragweed2021.realigned.bam
A-2010-T1-1	Ambrosia_artemisiifolia	AUInnsbruck	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/A-2010-T1-1.ragweed2021.realigned.bam
A-2010-T1-2	Ambrosia_artemisiifolia	AUInnsbruck	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/A-2010-T1-2.ragweed2021.realigned.bam
A-2010-T1-3	Ambrosia_artemisiifolia	AUInnsbruck	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/A-2010-T1-3.ragweed2021.realigned.bam
A-2010-T1-4	Ambrosia_artemisiifolia	AUInnsbruck	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/A-2010-T1-4.ragweed2021.realigned.bam
