sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
unclassified-kra_F_18_read.hist	histogram	genome-skim	4.97	1126253658	0.75	116.37	0.0023	114
unclassified-kra_F_31_read.hist	histogram	genome-skim	6.44	1154484605	0.74	186.24	0.0026	112
unclassified-kra_F_13_read.hist	histogram	genome-skim	2.72	1090276027	0.82	378.33	0.0033	103
subsampled_unclassified-kra_D_22_read.hist	histogram	genome-skim	2.85	1159369839	0.72	261.47	0.0024	112
subsampled_unclassified-kra_A_22_read.hist	histogram	genome-skim	2.78	1180518302	0.77	284.36	0.0022	112
subsampled_unclassified-kra_A_15_read.hist	histogram	genome-skim	2.89	1151322343	0.79	210.68	0.0020	113
unclassified-kra_A_30_read.hist	histogram	genome-skim	4.71	1170835347	0.75	248.43	0.0018	111
unclassified-kra_F_14_read.hist	histogram	genome-skim	3.28	1130916565	0.79	353.91	0.0030	100
subsampled_unclassified-kra_CE_05_read.hist	histogram	genome-skim	3.04	1102778557	0.83	105.12	0.0020	113
subsampled_unclassified-kra_CN_18_read.hist	histogram	genome-skim	2.38	1372074564	0.64	440.18	0.0020	112
subsampled_unclassified-kra_CE_02_read.hist	histogram	genome-skim	2.99	1113052635	0.81	127.89	0.0022	113
subsampled_unclassified-kra_D_28_read.hist	histogram	genome-skim	3.03	1089535867	0.84	155.33	0.0021	112
unclassified-kra_A_05_read.hist	histogram	genome-skim	4.36	1618827481	0.47	220.74	0.0049	112
unclassified-kra_D_12_read.hist	histogram	genome-skim	7.47	1100051559	0.80	116.28	0.0022	113
unclassified-kra_F_15_read.hist	histogram	genome-skim	1.35	1018885529	0.87	98.88	0.0023	113
unclassified-kra_F_25_read.hist	histogram	genome-skim	7.57	1106261600	0.76	171.10	0.0024	113
subsampled_unclassified-kra_D_27_read.hist	histogram	genome-skim	3.06	1077732408	0.86	153.62	0.0019	112
unclassified-kra_D_11_read.hist	histogram	genome-skim	1.83	1034760896	0.88	114.15	0.0025	112
subsampled_unclassified-kra_F_19_read.hist	histogram	genome-skim	3.06	1082584897	0.83	237.65	0.0025	113
subsampled_unclassified-kra_F_16_read.hist	histogram	genome-skim	3.07	1087543338	0.84	158.58	0.0021	113
subsampled_unclassified-kra_D_16_read.hist	histogram	genome-skim	2.95	1107308774	0.78	222.60	0.0022	112
unclassified-kra_F_04_read.hist	histogram	genome-skim	5.07	1185757778	0.68	191.76	0.0031	113
unclassified-kra_D_08_read.hist	histogram	genome-skim	6.92	1232238188	0.64	159.56	0.0020	113
subsampled_unclassified-kra_D_03_read.hist	histogram	genome-skim	3.09	1081200401	0.80	207.89	0.0021	112
subsampled_unclassified-kra_A_12_read.hist	histogram	genome-skim	2.75	1194065668	0.78	334.22	0.0020	112
unclassified-kra_CE_10_read.hist	histogram	genome-skim	5.90	1156241536	0.72	93.59	0.0024	114
subsampled_unclassified-kra_CE_08_read.hist	histogram	genome-skim	3.06	1091168962	0.81	109.57	0.0019	113
unclassified-kra_D_19_read.hist	histogram	genome-skim	5.00	1211836009	0.67	203.84	0.0023	111
subsampled_unclassified-kra_F_26_read.hist	histogram	genome-skim	3.07	1093877831	0.84	152.33	0.0021	113
unclassified-kra_D_05_read.hist	histogram	genome-skim	6.32	1256398543	0.57	179.50	0.0020	112
unclassified-kra_D_31_read.hist	histogram	genome-skim	8.23	1158421627	0.72	129.00	0.0018	112
subsampled_unclassified-kra_CE_01_read.hist	histogram	genome-skim	3.07	1092367152	0.84	95.15	0.0023	113
unclassified-kra_F_01_read.hist	histogram	genome-skim	4.32	1245719399	0.69	223.12	0.0027	113
unclassified-kra_F_27_read.hist	histogram	genome-skim	6.55	1254249307	0.59	165.93	0.0031	111
subsampled_unclassified-kra_CN_26_read.hist	histogram	genome-skim	3.01	1083061367	0.85	149.06	0.0027	113
subsampled_unclassified-kra_D_25_read.hist	histogram	genome-skim	3.02	1088632695	0.85	167.43	0.0021	111
unclassified-kra_D_07_read.hist	histogram	genome-skim	6.66	1233506392	0.64	141.10	0.0021	112
subsampled_unclassified-kra_CE_09_read.hist	histogram	genome-skim	3.08	1088628840	0.84	93.96	0.0019	113
subsampled_unclassified-kra_D_29_read.hist	histogram	genome-skim	3.06	1085562763	0.84	150.49	0.0018	113
subsampled_unclassified-kra_F_24_read.hist	histogram	genome-skim	3.00	1110150413	0.83	168.35	0.0021	113
unclassified-kra_A_18_read.hist	histogram	genome-skim	6.95	1330678662	0.58	150.33	0.0022	113
unclassified-kra_D_14_read.hist	histogram	genome-skim	4.19	1612658797	0.38	219.24	0.0033	108
subsampled_unclassified-kra_A_14_read.hist	histogram	genome-skim	2.89	1147095795	0.80	203.15	0.0019	113
subsampled_unclassified-kra_CN_09_read.hist	histogram	genome-skim	2.28	1421781940	0.57	445.76	0.0028	112
subsampled_unclassified-kra_CN_31_read.hist	histogram	genome-skim	3.03	1082720520	0.86	84.59	0.0027	113
subsampled_unclassified-kra_D_18_read.hist	histogram	genome-skim	3.02	1095094170	0.70	174.67	0.0026	113
subsampled_unclassified-kra_D_30_read.hist	histogram	genome-skim	3.04	1090457665	0.82	224.13	0.0018	112
subsampled_unclassified-kra_CN_30_read.hist	histogram	genome-skim	3.07	1072369708	0.86	79.38	0.0026	114
subsampled_unclassified-kra_CN_24_read.hist	histogram	genome-skim	2.37	1373783013	0.59	437.34	0.0037	113
subsampled_unclassified-kra_A_21_read.hist	histogram	genome-skim	2.86	1160267519	0.78	224.80	0.0021	113
subsampled_unclassified-kra_D_21_read.hist	histogram	genome-skim	3.01	1098339916	0.82	206.37	0.0019	112
unclassified-kra_A_31_read.hist	histogram	genome-skim	5.43	1233911356	0.69	208.43	0.0019	111
subsampled_unclassified-kra_D_13_read.hist	histogram	genome-skim	3.09	1070585570	0.82	159.85	0.0021	113
unclassified-kra_F_09_read.hist	histogram	genome-skim	1.57	1008027945	0.89	102.99	0.0032	111
subsampled_unclassified-kra_A_03_read.hist	histogram	genome-skim	2.29	1405870032	0.55	493.34	0.0052	111
unclassified-kra_A_10_read.hist	histogram	genome-skim	7.29	1173527481	0.75	166.13	0.0018	113
unclassified-kra_F_30_read.hist	histogram	genome-skim	6.25	1171136682	0.77	182.27	0.0025	114
subsampled_unclassified-kra_A_24_read.hist	histogram	genome-skim	2.94	1139043942	0.81	189.51	0.0017	113
unclassified-kra_F_23_read.hist	histogram	genome-skim	7.74	1132924310	0.75	144.82	0.0024	113
subsampled_unclassified-kra_D_23_read.hist	histogram	genome-skim	3.04	1090276395	0.82	205.34	0.0021	112
subsampled_unclassified-kra_A_29_read.hist	histogram	genome-skim	2.82	1176397386	0.76	275.35	0.0021	112
subsampled_unclassified-kra_CN_03_read.hist	histogram	genome-skim	2.42	1343901283	0.64	447.23	0.0025	110
subsampled_unclassified-kra_D_26_read.hist	histogram	genome-skim	3.06	1089809520	0.84	126.45	0.0019	113
unclassified-kra_F_11_read.hist	histogram	genome-skim	1.18	1031395040	0.88	301.83	0.0030	108
subsampled_unclassified-kra_D_17_read.hist	histogram	genome-skim	2.95	1110214756	0.80	334.58	0.0021	111
subsampled_unclassified-kra_CN_07_read.hist	histogram	genome-skim	2.41	1347160611	0.65	437.09	0.0023	111
subsampled_unclassified-kra_CN_14_read.hist	histogram	genome-skim	2.37	1378160142	0.64	445.30	0.0023	111
subsampled_unclassified-kra_F_08_read.hist	histogram	genome-skim	3.04	1095989932	0.81	136.93	0.0028	114
subsampled_unclassified-kra_F_28_read.hist	histogram	genome-skim	3.05	1085266106	0.82	319.26	0.0026	112
subsampled_unclassified-kra_CN_02_read.hist	histogram	genome-skim	2.51	1313673088	0.68	429.87	0.0022	112
unclassified-kra_F_02_read.hist	histogram	genome-skim	3.95	1188365345	0.72	129.72	0.0030	113
subsampled_unclassified-kra_CN_13_read.hist	histogram	genome-skim	2.41	1367399166	0.65	437.01	0.0022	112
subsampled_unclassified-kra_D_09_read.hist	histogram	genome-skim	3.00	1098855202	0.86	121.55	0.0021	112
unclassified-kra_A_09_read.hist	histogram	genome-skim	2.25	1113883368	0.73	323.27	0.0023	112
unclassified-kra_A_23_read.hist	histogram	genome-skim	4.55	1362205188	0.62	225.97	0.0023	112
unclassified-kra_F_07_read.hist	histogram	genome-skim	5.69	1112307750	0.74	71.96	0.0029	114
subsampled_unclassified-kra_A_02_read.hist	histogram	genome-skim	1.74	1859697523	0.34	499.14	0.0059	112
subsampled_unclassified-kra_CE_17_read.hist	histogram	genome-skim	3.07	1094318936	0.81	98.27	0.0022	114
unclassified-kra_F_12_read.hist	histogram	genome-skim	2.38	1055678490	0.81	102.25	0.0024	111
unclassified-kra_CE_15_read.hist	histogram	genome-skim	5.66	1174330570	0.71	140.60	0.0021	114
subsampled_unclassified-kra_A_26_read.hist	histogram	genome-skim	2.87	1154363035	0.80	213.17	0.0018	112
