sample_title;Accession;sample_description;tissue_type;geographic location (region and locality)
BAL_22_HER001a;ERS11963786;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER001b;ERS11963787;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER001c;ERS11963788;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER002a;ERS11963789;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER002b;ERS11963790;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER002c;ERS11963791;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER002d;ERS11963792;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER003a;ERS11963793;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER003b;ERS11963794;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER003c;ERS11963795;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER003d;ERS11963796;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER003e;ERS11963797;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER004a;ERS11963798;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER004b;ERS11963799;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER004c;ERS11963800;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER004d;ERS11963801;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER004e;ERS11963802;Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER005a;ERS11963803;Western Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER005b;ERS11963804;Western Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER005c;ERS11963805;Western Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER005d;ERS11963806;Western Baltic Autumn Spawning herring;bone;Giecz, Poland, 9th-13th century
BAL_22_HER006a;ERS11963807;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER006b;ERS11963808;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER006c;ERS11963809;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER007a;ERS11963810;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER007b;ERS11963811;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER007c;ERS11963812;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER007d;ERS11963813;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER008a;ERS11963814;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER008b;ERS11963815;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER008c;ERS11963816;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER008d;ERS11963817;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER009a;ERS11963818;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER009b;ERS11963819;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER009c;ERS11963820;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER009d;ERS11963821;Baltic Autumn Spawning herring;bone;Mala Nieszawka, Poland, 14th-15th century
BAL_22_HER035;ERS11963822;Western Baltic Autumn Spawning herring;bone;Kaldus, Poland, 12th century
BAL_22_HER036a;ERS11963823;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER036b;ERS11963824;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER036c;ERS11963825;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER036d;ERS11963826;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER037a;ERS11963827;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER037b;ERS11963828;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER038a;ERS11963829;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER038b;ERS11963830;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER038c;ERS11963831;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER038d;ERS11963832;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER038e;ERS11963833;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER038f;ERS11963834;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER039a;ERS11963835;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
