sample_accession	run_accession	scientific_name	library_name	base_count	sample_title
SAMEA14369559	ERR9709094	Clupea harengus	HER001E1bL3	176762412	BAL_22_HER001c
SAMEA14369561	ERR9709096	Clupea harengus	HER002E1bL2	3804585372	BAL_22_HER002b
SAMEA14369570	ERR9709105	Clupea harengus	HER004E1bL2	2986031664	BAL_22_HER004b
SAMEA14369583	ERR9709118	Clupea harengus	HER007E1bL2	9156412440	BAL_22_HER007c
SAMEA14369587	ERR9709122	Clupea harengus	HER008E1bL2	1938794508	BAL_22_HER008c
SAMEA14369589	ERR9709124	Clupea harengus	HER009E1bL1	394190244	BAL_22_HER009a
SAMEA14369590	ERR9709125	Clupea harengus	HER009E1bL2	2286105192	BAL_22_HER009b
SAMEA14369591	ERR9709126	Clupea harengus	HER009E1bL2	8926383060	BAL_22_HER009c
SAMEA14369592	ERR9709127	Clupea harengus	HER009E1bL3	2113025144	BAL_22_HER009d
SAMEA14369595	ERR9709130	Clupea harengus	HER036E1bL2	1575411086	BAL_22_HER036b
SAMEA14369599	ERR9709134	Clupea harengus	HER037E1bL4	11450574620	BAL_22_HER037b
SAMEA14369560	ERR9709095	Clupea harengus	HER002E1bL1	1055143152	BAL_22_HER002a
SAMEA14369601	ERR9709136	Clupea harengus	HER038E1bL1	14335231508	BAL_22_HER038b
SAMEA14369605	ERR9709140	Clupea harengus	HER038E1bL4	3092461578	BAL_22_HER038f
SAMEA14369562	ERR9709097	Clupea harengus	HER002E1bL2	17435765844	BAL_22_HER002c
SAMEA14369607	ERR9709142	Clupea harengus	HER039E1bL2	1417741114	BAL_22_HER039b
SAMEA14369563	ERR9709098	Clupea harengus	HER002E1bL3	74424276	BAL_22_HER002d
SAMEA14369612	ERR9709147	Clupea harengus	HER041E1bL2	3267770464	BAL_22_HER041a
SAMEA14369614	ERR9709149	Clupea harengus	HER042E1bL1	1216981782	BAL_22_HER042a
SAMEA14369567	ERR9709102	Clupea harengus	HER003E1bL2	1567973736	BAL_22_HER003d
SAMEA14369620	ERR9709155	Clupea harengus	HER045E1bL2	718917946	BAL_22_HER045a
SAMEA14369623	ERR9709158	Clupea harengus	HER045E1bL4	5214217240	BAL_22_HER045d
SAMEA14369569	ERR9709104	Clupea harengus	HER004E1bL1	40068	BAL_22_HER004a
SAMEA14369632	ERR9709167	Clupea harengus	HER048E1bL2	828164030	BAL_22_HER048
SAMEA14369571	ERR9709106	Clupea harengus	HER004E1bL2	3238016796	BAL_22_HER004c
SAMEA14369637	ERR9709172	Clupea harengus	HER052E1bL1	543646206	BAL_22_HER052a
SAMEA14369638	ERR9709173	Clupea harengus	HER052E1bL2	1313589468	BAL_22_HER052b
SAMEA14369575	ERR9709110	Clupea harengus	HER005E1bL2	2062377828	BAL_22_HER005b
SAMEA14369639	ERR9709174	Clupea harengus	HER054E1bL2	911921918	BAL_22_HER054
SAMEA14369576	ERR9709111	Clupea harengus	HER005E1bL2	10395431424	BAL_22_HER005c
SAMEA14369642	ERR9709177	Clupea harengus	HER056E1bL1	1699100018	BAL_22_HER056a
SAMEA14369577	ERR9709112	Clupea harengus	HER005E1bL3	242271044	BAL_22_HER005d
SAMEA14369643	ERR9709178	Clupea harengus	HER056E1bL1	13560104718	BAL_22_HER056b
SAMEA14369578	ERR9709113	Clupea harengus	HER006E1bL1	713384532	BAL_22_HER006a
SAMEA14369645	ERR9709180	Clupea harengus	HER056E1bL3	2956899818	BAL_22_HER056d
SAMEA14369649	ERR9709184	Clupea harengus	HER059E1bL2	21346568	BAL_22_HER059a
SAMEA14369652	ERR9709187	Clupea harengus	HER110E1bL2	1628050894	BAL_22_HER110a
SAMEA14369654	ERR9709189	Clupea harengus	HER111E1bL2	2550357686	BAL_22_HER111
SAMEA14369655	ERR9709190	Clupea harengus	HER112E1bL2	1399067548	BAL_22_HER112a
SAMEA14369656	ERR9709191	Clupea harengus	HER112E1bL2	17416584318	BAL_22_HER112b
SAMEA14369659	ERR9709194	Clupea harengus	HER115E1bL2	818237592	BAL_22_HER115
SAMEA14369660	ERR9709195	Clupea harengus	HER116E1bL2	2400485354	BAL_22_HER116
SAMEA14369661	ERR9709196	Clupea harengus	HER117E1bL2	1444376910	BAL_22_HER117
SAMEA14369663	ERR9709198	Clupea harengus	HER118E1bL2	17982710800	BAL_22_HER118b
SAMEA14369664	ERR9709199	Clupea harengus	HER118E1bL2	535940072	BAL_22_HER118c
SAMEA14369669	ERR9709203	Clupea harengus	M-HER002	8856244526	BAL_22_M-HER002
SAMEA14369670	ERR9709204	Clupea harengus	M-HER003	14252886980	BAL_22_M-HER003
SAMEA14369581	ERR9709116	Clupea harengus	HER007E1bL1	27609372	BAL_22_HER007a
SAMEA14369674	ERR9709208	Clupea harengus	M-HER008	13166245982	BAL_22_M-HER008
SAMEA14369585	ERR9709120	Clupea harengus	HER008E1bL1	49321944	BAL_22_HER008a
SAMEA14369675	ERR9709209	Clupea harengus	M-HER009	21581909956	BAL_22_M-HER009
SAMEA14369593	ERR9709128	Clupea harengus	HER035E1bL2	2112098608	BAL_22_HER035
SAMEA14369677	ERR9709211	Clupea harengus	M-HER011	16376773554	BAL_22_M-HER011
SAMEA14369596	ERR9709131	Clupea harengus	HER036E1bL3	1635650724	BAL_22_HER036c
SAMEA14369680	ERR9709214	Clupea harengus	M-HER014	15801453588	BAL_22_M-HER014
SAMEA14369598	ERR9709133	Clupea harengus	HER037E1bL3	1646824724	BAL_22_HER037a
SAMEA14369683	ERR9709217	Clupea harengus	M-HER017	17350278406	BAL_22_M-HER017
SAMEA14369603	ERR9709138	Clupea harengus	HER038E1bL2	21346909562	BAL_22_HER038d
SAMEA14369684	ERR9709218	Clupea harengus	M-HER018	15100581652	BAL_22_M-HER018
SAMEA14369685	ERR9709219	Clupea harengus	M-HER019	13004662694	BAL_22_M-HER019
SAMEA14369689	ERR9709223	Clupea harengus	M-HER023	18301398112	BAL_22_M-HER023
SAMEA14369604	ERR9709139	Clupea harengus	HER038E1bL3	1559895836	BAL_22_HER038e
SAMEA14369694	ERR9709228	Clupea harengus	M-HER028	14403640548	BAL_22_M-HER028
SAMEA14369608	ERR9709143	Clupea harengus	HER039E1bL2	6770728864	BAL_22_HER039c
SAMEA14369698	ERR9709232	Clupea harengus	M-HER035	17666334694	BAL_22_M-HER035
SAMEA14369615	ERR9709150	Clupea harengus	HER042E1bL2	1667240528	BAL_22_HER042b
SAMEA14369700	ERR9709234	Clupea harengus	M-HER037	15987533304	BAL_22_M-HER037
SAMEA14369701	ERR9709235	Clupea harengus	M-HER038	16070797422	BAL_22_M-HER038
