"sample_title","sample_accession","run_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)"
"BAL_22_HER001b","SAMEA14369558","ERR9709093","Clupea harengus","HER001E1bL2",3090278772,"ERS11963787","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER001c","SAMEA14369559","ERR9709094","Clupea harengus","HER001E1bL3",176762412,"ERS11963788","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER002a","SAMEA14369560","ERR9709095","Clupea harengus","HER002E1bL1",1055143152,"ERS11963789","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER002b","SAMEA14369561","ERR9709096","Clupea harengus","HER002E1bL2",3804585372,"ERS11963790","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER002c","SAMEA14369562","ERR9709097","Clupea harengus","HER002E1bL2",17435765844,"ERS11963791","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER002d","SAMEA14369563","ERR9709098","Clupea harengus","HER002E1bL3",74424276,"ERS11963792","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER003a","SAMEA14369564","ERR9709099","Clupea harengus","HER003E1bL1",5886720,"ERS11963793","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER003b","SAMEA14369565","ERR9709100","Clupea harengus","HER003E1bL2",938270340,"ERS11963794","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER003c","SAMEA14369566","ERR9709101","Clupea harengus","HER003E1bL2",1545193440,"ERS11963795","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER003d","SAMEA14369567","ERR9709102","Clupea harengus","HER003E1bL2",1567973736,"ERS11963796","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER003e","SAMEA14369568","ERR9709103","Clupea harengus","HER003E1bL3",6186772,"ERS11963797","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER004a","SAMEA14369569","ERR9709104","Clupea harengus","HER004E1bL1",40068,"ERS11963798","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER004b","SAMEA14369570","ERR9709105","Clupea harengus","HER004E1bL2",2986031664,"ERS11963799","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER004c","SAMEA14369571","ERR9709106","Clupea harengus","HER004E1bL2",3238016796,"ERS11963800","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER004d","SAMEA14369572","ERR9709107","Clupea harengus","HER004E1bL2",3278951928,"ERS11963801","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER004e","SAMEA14369573","ERR9709108","Clupea harengus","HER004E1bL3",73369994,"ERS11963802","Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER005a","SAMEA14369574","ERR9709109","Clupea harengus","HER005E1bL1",755070624,"ERS11963803","Western Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER005b","SAMEA14369575","ERR9709110","Clupea harengus","HER005E1bL2",2062377828,"ERS11963804","Western Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
"BAL_22_HER005c","SAMEA14369576","ERR9709111","Clupea harengus","HER005E1bL2",10395431424,"ERS11963805","Western Baltic Autumn Spawning herring","bone","Giecz, Poland, 9th-13th century"
