sample_accession	run_accession	scientific_name	library_name	base_count	sample_alias	sample_title
SAMN15398036	SRR12106877	Clupea pallasii	Pacific30_Vancouver_Pacific_rg1	7321743600	Pacific30	Pacific30
SAMN15398088	SRR12106879	Clupea harengus	HGS16_Orkney_NorthSea_Autumn_rg2	2854402830	HGS16_Orkney	HGS16_Orkney
SAMN15398088	SRR12106880	Clupea harengus	HGS16_Orkney_NorthSea_Autumn_rg1	27330086242	HGS16_Orkney	HGS16_Orkney
SAMN15398086	SRR12106884	Clupea harengus	HGS21_Hebrides_Atlantic_Mixed_rg1	25570846152	HGS21_Hebrides	HGS21_Hebrides
SAMN15398085	SRR12106885	Clupea harengus	HGS27_Gloppen_Atlantic_Spring_rg2	23197946384	HGS27_Gloppen	HGS27_Gloppen
SAMN15398084	SRR12106887	Clupea harengus	HGS20_CapeWrath_Atlantic_Spring_rg1	30168411738	HGS20_CapeWrath	HGS20_CapeWrath
SAMN15398080	SRR12106892	Clupea harengus	HGS19_TeelinBay_Atlantic_Winter_rg3	8282786994	HGS19_TeelinBay	HGS19_TeelinBay
SAMN15398079	SRR12106895	Clupea harengus	HGS17_IsleOfMan_IrishSea_Autumn_rg1	43977608237	HGS17_IsleOfMan	HGS17_IsleOfMan
SAMN15398078	SRR12106896	Clupea harengus	HGS23_Clyde_Atlantic_Spring_rg1	38442047857	HGS23_Clyde	HGS23_Clyde
SAMN15398077	SRR12106897	Clupea harengus	HGS26_Lusterfjorden_Atlantic_Spring_rg2	16848853914	HGS26_Lusterfjorden	HGS26_Lusterfjorden
SAMN15398077	SRR12106898	Clupea harengus	HGS26_Lusterfjorden_Atlantic_Spring_rg1	17203047970	HGS26_Lusterfjorden	HGS26_Lusterfjorden
SAMN15398076	SRR12106900	Clupea harengus	HGS25_Lindas_Atlantic_Spring_rg2	21871062876	HGS25_Lindas	HGS25_Lindas
SAMN15398073	SRR12106904	Clupea harengus	LandvikS17_Norway_Baltic_Spring_rg1	30075386610	LandvikS17	LandvikS17
SAMN15398070	SRR12106908	Clupea harengus	HGS5_Schlei_Baltic_Autumn_rg1	38347042048	HGS5_Schlei	HGS5_Schlei
SAMN15398065	SRR12106914	Clupea harengus	HGS72_Rugen_Baltic_Spring_rg1	58638188916	HGS72_Rugen	HGS72_Rugen
SAMN15398060	SRR12106919	Clupea harengus	HGS1_Riga_Baltic_Spring_rg1	67771541355	HGS1_Riga	HGS1_Riga
