sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
unclassified-kra_SRR26417010_.hist	histogram	genome-skim	2.09	869998138	0.55	29.74	0.0092	152
unclassified-kra_SRR26416998_.hist	histogram	genome-skim	2.27	945920476	0.50	28.28	0.0065	153
unclassified-kra_SRR26417201_.hist	histogram	genome-skim	1.44	1023981233	0.47	25.92	0.0049	155
unclassified-kra_SRR26417351_.hist	histogram	genome-skim	2.33	972035441	0.51	29.51	0.0075	153
unclassified-kra_SRR26416967_.hist	histogram	genome-skim	1.53	948579959	0.50	28.08	0.0061	155
unclassified-kra_SRR26417230_.hist	histogram	genome-skim	2.22	967563277	0.47	29.97	0.0054	154
unclassified-kra_SRR26417209_.hist	histogram	genome-skim	1.76	954211970	0.51	29.81	0.0082	153
unclassified-kra_SRR26417311_.hist	histogram	genome-skim	1.61	950413996	0.52	28.70	0.0070	150
unclassified-kra_SRR26417347_.hist	histogram	genome-skim	1.42	957586124	0.51	29.53	0.0064	153
unclassified-kra_SRR26417076_.hist	histogram	genome-skim	2.45	1081166064	0.43	27.25	0.0052	155
unclassified-kra_SRR26417279_.hist	histogram	genome-skim	1.91	900949130	0.51	29.29	0.0060	152
unclassified-kra_SRR26416935_.hist	histogram	genome-skim	2.72	986275553	0.49	28.60	0.0068	154
unclassified-kra_SRR26417200_.hist	histogram	genome-skim	1.43	952282995	0.51	27.80	0.0063	153
unclassified-kra_SRR26417008_.hist	histogram	genome-skim	2.15	960026862	0.50	27.95	0.0068	155
unclassified-kra_SRR26417142_.hist	histogram	genome-skim	1.91	902295349	0.51	31.23	0.0089	151
unclassified-kra_SRR26417245_.hist	histogram	genome-skim	1.31	935268194	0.51	30.62	0.0065	153
unclassified-kra_SRR26417281_.hist	histogram	genome-skim	1.51	876454593	0.52	29.11	0.0081	151
unclassified-kra_SRR26417261_.hist	histogram	genome-skim	1.72	951927049	0.50	27.49	0.0058	151
unclassified-kra_SRR26417244_.hist	histogram	genome-skim	1.42	911718306	0.53	26.62	0.0063	153
unclassified-kra_SRR26417171_.hist	histogram	genome-skim	1.23	905627741	0.52	33.17	0.0063	153
unclassified-kra_SRR26417060_.hist	histogram	genome-skim	1.96	937124382	0.51	26.55	0.0047	155
unclassified-kra_SRR26417483_.hist	histogram	genome-skim	1.94	882188372	0.53	29.67	0.0063	150
unclassified-kra_SRR26417053_.hist	histogram	genome-skim	2.08	901787452	0.52	27.48	0.0060	155
unclassified-kra_SRR26417002_.hist	histogram	genome-skim	2.43	964461057	0.49	31.33	0.0076	152
unclassified-kra_SRR26417337_.hist	histogram	genome-skim	0.91	905595199	0.49	33.71	0.0065	150
unclassified-kra_SRR26417220_.hist	histogram	genome-skim	1.03	902228405	0.52	27.59	0.0068	148
unclassified-kra_SRR26417125_.hist	histogram	genome-skim	2.69	1037028643	0.45	28.49	0.0056	154
unclassified-kra_SRR26417110_.hist	histogram	genome-skim	1.52	922794163	0.53	28.15	0.0067	149
unclassified-kra_SRR26417025_.hist	histogram	genome-skim	1.57	912568935	0.51	29.46	0.0072	153
unclassified-kra_SRR26417276_.hist	histogram	genome-skim	1.70	950379181	0.48	28.02	0.0073	148
unclassified-kra_SRR26417145_.hist	histogram	genome-skim	1.99	934267949	0.51	29.85	0.0056	155
unclassified-kra_SRR26417381_.hist	histogram	genome-skim	2.17	874361611	0.52	28.76	0.0072	151
unclassified-kra_SRR26417262_.hist	histogram	genome-skim	2.24	937195340	0.48	30.55	0.0066	154
unclassified-kra_SRR26417331_.hist	histogram	genome-skim	1.17	911358778	0.53	27.76	0.0068	153
unclassified-kra_SRR26417208_.hist	histogram	genome-skim	1.23	882924719	0.55	26.68	0.0060	153
unclassified-kra_SRR26416946_.hist	histogram	genome-skim	2.18	925719771	0.43	30.15	0.0074	151
unclassified-kra_SRR26417263_.hist	histogram	genome-skim	2.25	937363945	0.43	29.65	0.0077	152
unclassified-kra_SRR26417367_.hist	histogram	genome-skim	4.88	1038658180	0.43	31.21	0.0084	153
unclassified-kra_SRR26417166_.hist	histogram	genome-skim	1.05	945144695	0.55	25.21	0.0046	156
unclassified-kra_SRR26417317_.hist	histogram	genome-skim	1.95	936141604	0.50	29.29	0.0065	154
unclassified-kra_SRR26417375_.hist	histogram	genome-skim	2.21	803866064	0.56	31.46	0.0109	152
unclassified-kra_SRR26417401_.hist	histogram	genome-skim	1.58	941457664	0.50	28.79	0.0058	155
unclassified-kra_SRR26417204_.hist	histogram	genome-skim	1.36	993964756	0.49	29.64	0.0060	154
unclassified-kra_SRR26417458_.hist	histogram	genome-skim	1.70	963496145	0.50	27.06	0.0050	153
unclassified-kra_SRR26417181_.hist	histogram	genome-skim	0.98	598878244	0.69	32.91	0.0081	154
unclassified-kra_SRR26417128_.hist	histogram	genome-skim	2.28	952064733	0.50	28.62	0.0066	151
unclassified-kra_SRR26417059_.hist	histogram	genome-skim	1.65	905909567	0.50	29.72	0.0086	151
unclassified-kra_SRR26417309_.hist	histogram	genome-skim	1.53	920378051	0.47	28.72	0.0071	147
unclassified-kra_SRR26417015_.hist	histogram	genome-skim	1.18	968778375	0.52	29.66	0.0068	153
unclassified-kra_SRR26417206_.hist	histogram	genome-skim	2.06	938837070	0.45	29.21	0.0066	155
unclassified-kra_SRR26417210_.hist	histogram	genome-skim	1.58	940536141	0.50	30.67	0.0067	153
unclassified-kra_SRR26416943_.hist	histogram	genome-skim	3.64	942942363	0.44	34.77	0.0078	153
unclassified-kra_SRR26417408_.hist	histogram	genome-skim	2.41	973462897	0.47	31.66	0.0071	153
unclassified-kra_SRR26417077_.hist	histogram	genome-skim	1.29	936200176	0.52	28.43	0.0063	151
unclassified-kra_SRR26417064_.hist	histogram	genome-skim	1.07	973718646	0.51	29.01	0.0069	150
unclassified-kra_SRR26417357_.hist	histogram	genome-skim	1.04	992663664	0.48	28.23	0.0069	145
unclassified-kra_SRR26417236_.hist	histogram	genome-skim	2.08	921049453	0.53	29.27	0.0070	152
unclassified-kra_SRR26417167_.hist	histogram	genome-skim	1.41	1014416392	0.50	25.55	0.0044	157
unclassified-kra_SRR26417055_.hist	histogram	genome-skim	1.02	935241744	0.48	31.58	0.0084	151
unclassified-kra_SRR26416997_.hist	histogram	genome-skim	2.82	1101368044	0.42	28.91	0.0059	153
unclassified-kra_SRR26417674_.hist	histogram	genome-skim	2.35	974956411	0.49	28.90	0.0060	155
unclassified-kra_SRR26416941_.hist	histogram	genome-skim	1.99	883814616	0.52	31.47	0.0075	153
unclassified-kra_SRR26417402_.hist	histogram	genome-skim	2.66	1047015030	0.46	30.19	0.0054	155
unclassified-kra_SRR26417316_.hist	histogram	genome-skim	1.00	966031239	0.50	32.54	0.0069	152
unclassified-kra_SRR26417139_.hist	histogram	genome-skim	1.69	851809519	0.51	26.12	0.0055	156
unclassified-kra_SRR26417336_.hist	histogram	genome-skim	2.88	1144687642	0.40	28.44	0.0052	154
unclassified-kra_SRR26417350_.hist	histogram	genome-skim	3.21	1105448795	0.41	29.35	0.0064	151
unclassified-kra_SRR26417333_.hist	histogram	genome-skim	1.14	920243794	0.49	31.45	0.0061	149
unclassified-kra_SRR26417017_.hist	histogram	genome-skim	1.39	935089599	0.52	28.23	0.0064	150
unclassified-kra_SRR26417046_.hist	histogram	genome-skim	2.24	958976511	0.47	27.45	0.0060	152
unclassified-kra_SRR26416958_.hist	histogram	genome-skim	0.91	951733919	0.52	30.68	0.0073	146
unclassified-kra_SRR26417054_.hist	histogram	genome-skim	1.41	927188677	0.46	25.20	0.0054	155
unclassified-kra_SRR26417248_.hist	histogram	genome-skim	2.20	878730947	0.52	29.90	0.0081	152
unclassified-kra_SRR26417170_.hist	histogram	genome-skim	2.74	1147153291	0.40	25.80	0.0044	153
unclassified-kra_SRR26417038_.hist	histogram	genome-skim	2.24	936711706	0.46	37.53	0.0079	152
unclassified-kra_SRR26417126_.hist	histogram	genome-skim	2.08	948711030	0.49	27.93	0.0059	152
unclassified-kra_SRR26417307_.hist	histogram	genome-skim	4.11	1027934993	0.46	31.21	0.0116	152
unclassified-kra_SRR26417033_.hist	histogram	genome-skim	1.22	998942667	0.47	29.39	0.0058	152
unclassified-kra_SRR26417084_.hist	histogram	genome-skim	0.96	981221354	0.52	28.26	0.0060	145
unclassified-kra_SRR26417157_.hist	histogram	genome-skim	1.98	948791586	0.51	27.99	0.0052	153
unclassified-kra_SRR26417081_.hist	histogram	genome-skim	1.07	990232882	0.50	27.77	0.0053	151
unclassified-kra_SRR26417631_.hist	histogram	genome-skim	1.96	948068327	0.49	27.36	0.0049	157
unclassified-kra_SRR26417194_.hist	histogram	genome-skim	1.53	914358841	0.52	29.72	0.0073	153
unclassified-kra_SRR26417364_.hist	histogram	genome-skim	1.27	948305418	0.52	26.44	0.0053	153
unclassified-kra_SRR26417083_.hist	histogram	genome-skim	1.04	935843504	0.51	29.78	0.0058	152
unclassified-kra_SRR26417286_.hist	histogram	genome-skim	2.27	983050177	0.50	27.79	0.0059	152
unclassified-kra_SRR26416982_.hist	histogram	genome-skim	1.92	897316543	0.50	31.67	0.0064	155
unclassified-kra_SRR26417112_.hist	histogram	genome-skim	1.72	963111789	0.49	27.75	0.0058	152
unclassified-kra_SRR26416948_.hist	histogram	genome-skim	1.15	942593052	0.51	29.54	0.0065	152
unclassified-kra_SRR26417106_.hist	histogram	genome-skim	2.69	1067467895	0.44	27.92	0.0053	152
unclassified-kra_SRR26417113_.hist	histogram	genome-skim	2.40	957358257	0.50	30.96	0.0073	152
unclassified-kra_SRR26417095_.hist	histogram	genome-skim	1.56	956451435	0.48	32.52	0.0057	154
unclassified-kra_SRR26417160_.hist	histogram	genome-skim	2.18	966940206	0.48	30.70	0.0063	151
unclassified-kra_SRR26416995_.hist	histogram	genome-skim	2.61	934615206	0.48	32.53	0.0090	151
unclassified-kra_SRR26417249_.hist	histogram	genome-skim	1.00	980698109	0.51	28.09	0.0059	153
unclassified-kra_SRR26417186_.hist	histogram	genome-skim	1.78	971324614	0.50	28.45	0.0066	151
unclassified-kra_SRR26417035_.hist	histogram	genome-skim	2.69	1013114670	0.49	28.32	0.0063	154
unclassified-kra_SRR26417293_.hist	histogram	genome-skim	2.74	1093457601	0.43	28.12	0.0053	154
unclassified-kra_SRR26417456_.hist	histogram	genome-skim	2.22	957140515	0.49	27.91	0.0060	154
unclassified-kra_SRR26417172_.hist	histogram	genome-skim	1.00	954063918	0.50	28.67	0.0061	153
unclassified-kra_SRR26417374_.hist	histogram	genome-skim	1.85	904652989	0.54	26.37	0.0046	155
unclassified-kra_SRR26417330_.hist	histogram	genome-skim	2.25	926252216	0.50	29.97	0.0076	153
unclassified-kra_SRR26417000_.hist	histogram	genome-skim	1.02	953402593	0.52	28.99	0.0057	153
unclassified-kra_SRR26417257_.hist	histogram	genome-skim	1.72	916777899	0.49	31.86	0.0091	151
unclassified-kra_SRR26417299_.hist	histogram	genome-skim	2.76	974872779	0.49	28.79	0.0066	153
unclassified-kra_SRR26417151_.hist	histogram	genome-skim	1.44	944761816	0.52	26.75	0.0045	157
unclassified-kra_SRR26417001_.hist	histogram	genome-skim	2.12	950260590	0.49	30.76	0.0065	154
unclassified-kra_SRR26416965_.hist	histogram	genome-skim	0.91	564440266	0.74	30.17	0.0077	153
unclassified-kra_SRR26417447_.hist	histogram	genome-skim	1.97	853347596	0.54	30.06	0.0072	151
unclassified-kra_SRR26416985_.hist	histogram	genome-skim	2.28	1042247136	0.45	26.09	0.0047	156
unclassified-kra_SRR26417096_.hist	histogram	genome-skim	2.01	878256349	0.51	30.12	0.0077	152
unclassified-kra_SRR26417043_.hist	histogram	genome-skim	2.06	846094480	0.51	30.71	0.0084	151
unclassified-kra_SRR26417297_.hist	histogram	genome-skim	2.41	916971649	0.51	28.39	0.0090	152
unclassified-kra_SRR26416936_.hist	histogram	genome-skim	2.89	1128757555	0.41	28.53	0.0061	155
unclassified-kra_SRR26417159_.hist	histogram	genome-skim	2.08	917188655	0.51	28.34	0.0064	155
unclassified-kra_SRR26417016_.hist	histogram	genome-skim	2.15	942170346	0.51	29.55	0.0070	153
unclassified-kra_SRR26417377_.hist	histogram	genome-skim	2.21	900420180	0.53	29.91	0.0078	153
