sample	unclassified-kra_L6866A1_	unclassified-kra_L6867A1_	unclassified-kra_L6868A1_	unclassified-kra_L6869A1_	unclassified-kra_L6870A1_	unclassified-kra_L6871A1_	unclassified-kra_L6872A1_	unclassified-kra_L6873A1_	unclassified-kra_L6874A1_	unclassified-kra_L6875A1_	unclassified-kra_L6876A1_	unclassified-kra_L6877A1_	unclassified-kra_L6878A1_	unclassified-kra_L6879A1_	unclassified-kra_L6880A1_	unclassified-kra_L6881A1_	unclassified-kra_L6882A1_	unclassified-kra_L6883A1_	unclassified-kra_L6884A1_	unclassified-kra_L6885A1_	unclassified-kra_L6886A1_	unclassified-kra_L6887A1_	unclassified-kra_L6888A1_	unclassified-kra_L6889A1_	unclassified-kra_L6890A1_	unclassified-kra_L6891A1_	unclassified-kra_L6892A1_	unclassified-kra_L6893A1_	unclassified-kra_L6894A1_	unclassified-kra_L6895A1_	unclassified-kra_L6896A1_	unclassified-kra_L6897A1_	unclassified-kra_L6898A1_	unclassified-kra_L6899A1_	unclassified-kra_L6900A1_	unclassified-kra_L6901A1_	unclassified-kra_L6902A1_	unclassified-kra_L6903A1_	unclassified-kra_L6904A1_	unclassified-kra_L6905A1_
unclassified-kra_L6866A1_	0.0	0.0028468418080753732	0.002936915911581739	0.0026835804265402663	0.0028969649799850394	0.002809465427449198	0.0027080357942078637	0.0027582530171301745	0.0023022046554702635	0.0027157425059508578	0.002722459572825131	0.002645894631116308	0.0028237714910995804	0.0028894342109380133	0.0028249750840600996	0.0028404631703422556	0.002850723250322873	0.002918059705998677	0.0026732816901023915	0.021545691596765115	0.002638781646633115	0.0027807983971274153	0.0027804786389207248	0.0027953776919051876	0.0024714810216671657	0.002799998085242561	0.0016842123559746014	0.0027233452019829185	0.0026309692665130724	0.002770112748350262	0.0027579855528471198	0.0027866478185921695	0.002028260719535435	0.002948018199316893	0.0028081375467204905	0.002603920058297571	0.01637854554528817	0.016460726013860727	0.016449207573036695	0.0163493419568993
unclassified-kra_L6867A1_	0.0028468418080753732	0.0	0.0032285133039128278	0.0029760225191394207	0.0032151304036649453	0.003075159962949936	0.002964638550273957	0.002978664052201152	0.0025542652407842814	0.0029269284916446647	0.0029429538403590305	0.002885464271401128	0.0030757192560072477	0.003098057824405309	0.0031531793443987377	0.0030495632612094203	0.003099120800857502	0.003165045167012104	0.002921060279526433	0.02189611526691393	0.002917049227202151	0.0029818388834783605	0.0030154899311545247	0.0030542036801463057	0.0027187652399448536	0.0030559097800955115	0.0018246400682844222	0.0030876306798663933	0.0029007466844694907	0.003054264604745116	0.003014314395716311	0.0030313703832337557	0.0021657093235403213	0.0033230923049883954	0.003058196010308989	0.0028686356943459224	0.016565600084214926	0.016791379127394368	0.016652747091007725	0.016588811262501002
unclassified-kra_L6868A1_	0.002936915911581739	0.0032285133039128278	0.0	0.0030781127287697885	0.003226231914695399	0.003115567897364002	0.0030351775239697565	0.0030126754521808685	0.0026398054664406034	0.003010743235883795	0.0030581720317488514	0.002947820112655153	0.0032417382424952956	0.003252222384754422	0.003303124487331166	0.003153945231291977	0.003296621884361861	0.003290036399231422	0.003006483873963184	0.02191885005877381	0.0030615726046167024	0.00313358387285112	0.003130405006365189	0.0031598214822744497	0.0028648888967486297	0.003086303986105099	0.0018767195786546509	0.0031762627540733446	0.0030208045885783408	0.003184471329666705	0.0032286569389964326	0.003128393586998013	0.002296069865779682	0.0033742068660189695	0.003208532847650769	0.0029550934231989956	0.016629898164902124	0.01688957020016002	0.01675682916046284	0.01665623479448164
unclassified-kra_L6869A1_	0.0026835804265402663	0.0029760225191394207	0.0030781127287697885	0.0	0.00299665524115611	0.0028892851231954175	0.0028106539279640907	0.0028296202691501238	0.0025076852734905453	0.002760189692072479	0.002864693214407965	0.0027877654021631892	0.002924625616971155	0.003008572386784647	0.0030326124583419656	0.0029869593831748364	0.0029529981900691116	0.00305813729226434	0.002794848451059373	0.021670372784894032	0.0027291925400076966	0.0029280463537370016	0.002892265821530793	0.0028985618481391917	0.0026394071692488197	0.0028843436634102826	0.0017822345953849572	0.002966529531104989	0.002822411222660026	0.0028893243234952015	0.0029461406845938676	0.0029226891978008096	0.002115650937008162	0.0030589548495404406	0.002983993583985045	0.0027412040045168284	0.01650062773880412	0.016625949107730853	0.016562149759737688	0.01650025368708019
unclassified-kra_L6870A1_	0.0028969649799850394	0.0032151304036649453	0.003226231914695399	0.00299665524115611	0.0	0.003000223785284528	0.00281994761509885	0.002870647000265847	0.0026162888279623875	0.002990148289838457	0.0028333602936108093	0.0027694155191879677	0.0031712102528321795	0.003191818034523952	0.003188318375343391	0.003127488109236465	0.0032444808547599235	0.003223739895767852	0.002971085654977723	0.021793681239940854	0.002966297539881868	0.0031499501551967013	0.003025795779525331	0.0030952492505870177	0.002722874525039498	0.002941294654623672	0.001714056140476261	0.0029879021213709	0.0028787510118920556	0.0030290046527189363	0.003019581970833962	0.002972849091510188	0.002292103474264562	0.0033449601977612042	0.0031544583528116954	0.002784492881367173	0.016555346494026124	0.016745666656561187	0.01664352155913551	0.016528073746520544
unclassified-kra_L6871A1_	0.002809465427449198	0.003075159962949936	0.003115567897364002	0.0028892851231954175	0.003000223785284528	0.0	0.002828220039044038	0.0028081528654300136	0.002638184705544777	0.0029141027095843652	0.002770647301915452	0.00270458221637071	0.0030473287987050623	0.0031180452514339985	0.003067780805085296	0.0030705866089831835	0.003089346096370904	0.0031779235950091245	0.0028346853952729845	0.021697513887400377	0.0027787047343290627	0.003081244619919543	0.00297607433934155	0.0029810376539265437	0.0026509321453884738	0.0028074176543446683	0.001718243787916185	0.002796155062300354	0.002799317596221984	0.0029557405071828358	0.0028593120332472965	0.002939450117413145	0.0022704433720202033	0.0032266587838304384	0.0029969406222122297	0.002744608469186449	0.01659007138175972	0.01672649442417662	0.016619773134865734	0.016553461018748106
unclassified-kra_L6872A1_	0.0027080357942078637	0.002964638550273957	0.0030351775239697565	0.0028106539279640907	0.00281994761509885	0.002828220039044038	0.0	0.0027340193498237575	0.0024624838406094307	0.0027590625338870245	0.002679452608597921	0.0026058341357985126	0.002896358911667618	0.0029649381346763537	0.002953129382234687	0.002904590096271642	0.0030145568802256717	0.0030061244245740415	0.0027770652704471877	0.021587428344806536	0.002749998958684441	0.002950489034113435	0.00289735279815162	0.002960594394948557	0.0025557001322320527	0.002738859664781046	0.0016503649270770415	0.0027422889872869005	0.0026809619122951656	0.00278624528897764	0.0027673916021990763	0.0027846854338910987	0.0021878021067001097	0.0030667951420638717	0.0029151721438157585	0.0025333442815276275	0.016357250833829773	0.016510865949114772	0.01645689506522574	0.016375291958215077
unclassified-kra_L6873A1_	0.0027582530171301745	0.002978664052201152	0.0030126754521808685	0.0028296202691501238	0.002870647000265847	0.0028081528654300136	0.0027340193498237575	0.0	0.0024574645785182536	0.0028271483127275676	0.0026909719827006295	0.0025935072269944737	0.0029912103907637766	0.0030177656946308584	0.002998009072228247	0.0029445940246258795	0.003104838913095209	0.0030566547286556833	0.0028221154989092057	0.02169980324729004	0.002758329688838712	0.002855995065690453	0.0029499191808057823	0.0029495761470208492	0.002547114424519048	0.0027688179812903613	0.0016079421753928402	0.002720567323785672	0.002672740945524388	0.0028079377384115922	0.0028468518486507444	0.0028475482857434065	0.002119827298590393	0.003116231530439162	0.002963683644569226	0.0026346896409986664	0.016587183901946245	0.016648033689712904	0.01660840554340748	0.01652998202618461
unclassified-kra_L6874A1_	0.0023022046554702635	0.0025542652407842814	0.0026398054664406034	0.0025076852734905453	0.0026162888279623875	0.002638184705544777	0.0024624838406094307	0.0024574645785182536	0.0	0.0023933675959121326	0.002432282136404118	0.0023587455683511394	0.002553612509728964	0.002604609433246252	0.0025470433057975805	0.0025488345744713037	0.0025958989307934832	0.0026093665056979853	0.002406692141400102	0.021175123679086583	0.002397424224597877	0.002468514791920895	0.0025091502225911277	0.0024924229190158576	0.0022873848330074997	0.0024821658345958175	0.0014464481088645176	0.002515158764659242	0.0023647793341808887	0.0025355742639199264	0.002540716506205576	0.002549733304810675	0.0017691084015276637	0.002747277345910404	0.002553031861149968	0.0023626285876352515	0.015988428125107146	0.016039757054954196	0.016001506265968524	0.01596954929411476
unclassified-kra_L6875A1_	0.0027157425059508578	0.0029269284916446647	0.003010743235883795	0.002760189692072479	0.002990148289838457	0.0029141027095843652	0.0027590625338870245	0.0028271483127275676	0.0023933675959121326	0.0	0.002742026619987681	0.002717719376265748	0.0029427992527550906	0.0029114246523579412	0.002969606371022171	0.002894904272205512	0.0029417446502369993	0.0029162568024099222	0.0027653887789571563	0.02154757977336952	0.0027120885499292147	0.0028573717194417814	0.002882506267969931	0.0028163507459308956	0.0025745291380736557	0.002855788680928173	0.0016408642368630488	0.0028557924050247596	0.0026752207984088727	0.0028938198164729645	0.00283000857022786	0.0028097075921024173	0.0019787118636649392	0.0030254155961172424	0.0028610578114266483	0.002697602284040701	0.01620922781859946	0.016354432642309402	0.016253308976121428	0.016192579382209638
