sample	unclassified-kra_L6866A1_	unclassified-kra_L6867A1_	unclassified-kra_L6868A1_	unclassified-kra_L6869A1_	unclassified-kra_L6870A1_	unclassified-kra_L6871A1_	unclassified-kra_L6872A1_	unclassified-kra_L6873A1_	unclassified-kra_L6874A1_	unclassified-kra_L6875A1_	unclassified-kra_L6876A1_	unclassified-kra_L6877A1_	unclassified-kra_L6878A1_	unclassified-kra_L6879A1_	unclassified-kra_L6880A1_	unclassified-kra_L6881A1_	unclassified-kra_L6882A1_	unclassified-kra_L6883A1_	unclassified-kra_L6884A1_	unclassified-kra_L6885A1_	unclassified-kra_L6886A1_	unclassified-kra_L6887A1_	unclassified-kra_L6888A1_	unclassified-kra_L6889A1_	unclassified-kra_L6890A1_	unclassified-kra_L6891A1_	unclassified-kra_L6892A1_	unclassified-kra_L6893A1_	unclassified-kra_L6894A1_	unclassified-kra_L6895A1_	unclassified-kra_L6896A1_	unclassified-kra_L6897A1_	unclassified-kra_L6898A1_	unclassified-kra_L6899A1_	unclassified-kra_L6900A1_	unclassified-kra_L6901A1_	unclassified-kra_L6902A1_	unclassified-kra_L6903A1_	unclassified-kra_L6904A1_	unclassified-kra_L6905A1_
unclassified-kra_L6866A1_	0	0.00285226	0.00294268	0.00268839	0.00290257	0.00281474	0.00271294	0.00276334	0.00230575	0.00272067	0.00272741	0.00265057	0.0028291	0.00289501	0.00283031	0.00284586	0.00285615	0.00292375	0.00267806	0.0218612	0.00264343	0.00278597	0.00278565	0.0028006	0.00247556	0.00280524	0.00168611	0.0027283	0.00263559	0.00277524	0.00276307	0.00279184	0.00203101	0.00295383	0.00281341	0.00260845	0.01656	0.0166441	0.0166323	0.0165302
unclassified-kra_L6867A1_	0.00285226	0	0.00323548	0.00298194	0.00322204	0.00308148	0.00297051	0.00298459	0.00255862	0.00293265	0.00294874	0.00289103	0.00308204	0.00310447	0.00315983	0.00305578	0.00310554	0.00317174	0.00292676	0.0222221	0.00292274	0.00298778	0.00302157	0.00306044	0.0027237	0.00306215	0.00182686	0.003094	0.00290637	0.0030605	0.00302039	0.00303751	0.00216884	0.00333048	0.00306445	0.00287414	0.0167513	0.0169822	0.0168404	0.016775
unclassified-kra_L6868A1_	0.00294268	0.00323548	0	0.00308445	0.00323319	0.00312206	0.00304134	0.00301874	0.00264446	0.0030168	0.00306442	0.00295363	0.00324876	0.00325929	0.00331042	0.0031606	0.00330389	0.00329727	0.00301253	0.0222455	0.00306784	0.00314015	0.00313696	0.0031665	0.00287037	0.00309267	0.00187907	0.00318301	0.0030269	0.00319125	0.00323563	0.00313494	0.00229959	0.00338182	0.00321542	0.00296093	0.016817	0.0170826	0.0169469	0.016844
unclassified-kra_L6869A1_	0.00268839	0.00298194	0.00308445	0	0.00300266	0.00289486	0.00281593	0.00283497	0.00251189	0.00276528	0.00287018	0.00279296	0.00293034	0.00301462	0.00303876	0.00299292	0.00295883	0.00306439	0.00280007	0.0219896	0.00273417	0.00293378	0.00289786	0.00290418	0.00264406	0.0028899	0.00178436	0.00297241	0.00282774	0.0028949	0.00295194	0.0029284	0.00211864	0.00306521	0.00298995	0.00274623	0.0166848	0.016813	0.0167478	0.0166845
unclassified-kra_L6870A1_	0.00290257	0.00322204	0.00323319	0.00300266	0	0.00300624	0.00282526	0.00287615	0.00262086	0.00299612	0.00283873	0.00277454	0.00317793	0.00319863	0.00319511	0.00313403	0.00325152	0.00323069	0.00297699	0.0221166	0.00297218	0.00315658	0.00303192	0.00310165	0.00272783	0.00294708	0.00171602	0.00299387	0.00288429	0.00303514	0.00302568	0.00297876	0.00229561	0.00335244	0.00316111	0.00278967	0.0167408	0.0169354	0.016831	0.0167129
unclassified-kra_L6871A1_	0.00281474	0.00308148	0.00312206	0.00289486	0.00300624	0	0.00283357	0.00281342	0.00264284	0.00291978	0.00277578	0.00270947	0.00305354	0.00312454	0.00307407	0.00307689	0.00309573	0.00318468	0.00284006	0.0220176	0.00278386	0.00308759	0.00298199	0.00298698	0.00265563	0.00281269	0.00172022	0.00280138	0.00280455	0.00296158	0.00286478	0.00294523	0.00227389	0.00323362	0.00300294	0.00274964	0.0167763	0.0169158	0.0168067	0.0167389
unclassified-kra_L6872A1_	0.00271294	0.00297051	0.00304134	0.00281593	0.00282526	0.00283357	0	0.00273901	0.00246654	0.00276415	0.00268425	0.00261037	0.00290197	0.00297081	0.00295896	0.00291023	0.00302063	0.00301217	0.00278222	0.0219042	0.00275505	0.00295631	0.00290296	0.00296645	0.00256006	0.00274387	0.00165218	0.00274731	0.00268577	0.00279143	0.00277251	0.00278987	0.002191	0.00307308	0.00292085	0.00253763	0.0165383	0.0166953	0.0166401	0.0165567
unclassified-kra_L6873A1_	0.00276334	0.00298459	0.00301874	0.00283497	0.00287615	0.00281342	0.00273901	0	0.0024615	0.00283249	0.00269581	0.002598	0.00299719	0.00302385	0.00300402	0.00295039	0.00311128	0.0030629	0.00282744	0.0220199	0.00276341	0.00286145	0.00295574	0.00295539	0.00255145	0.00277394	0.00160967	0.00272551	0.00267751	0.00281321	0.00285227	0.00285297	0.00212283	0.00312272	0.00296955	0.00263933	0.0167734	0.0168356	0.0167951	0.0167149
unclassified-kra_L6874A1_	0.00230575	0.00255862	0.00264446	0.00251189	0.00262086	0.00264284	0.00246654	0.0024615	0	0.00239719	0.00243623	0.00236246	0.00255797	0.00260914	0.00255138	0.00255318	0.0026004	0.00261392	0.00241056	0.0214798	0.00240126	0.00247259	0.00251336	0.00249657	0.00229088	0.00248628	0.00144784	0.00251939	0.00236852	0.00253987	0.00254503	0.00255408	0.0017712	0.00275232	0.00255739	0.00236636	0.0161613	0.0162138	0.0161747	0.016142
unclassified-kra_L6875A1_	0.00272067	0.00293265	0.0030168	0.00276528	0.00299612	0.00291978	0.00276415	0.00283249	0.00239719	0	0.00274705	0.00272266	0.00294859	0.00291709	0.0029755	0.00290051	0.00294753	0.00292194	0.0027705	0.0218632	0.002717	0.00286283	0.00288806	0.00282165	0.00257896	0.00286124	0.00164266	0.00286124	0.00268	0.00289942	0.00283536	0.00281498	0.00198133	0.00303153	0.00286653	0.00270247	0.016387	0.0165354	0.016432	0.0163699
unclassified-kra_L6876A1_	0.00272741	0.00294874	0.00306442	0.00287018	0.00283873	0.00277578	0.00268425	0.00269581	0.00243623	0.00274705	0	0.00252389	0.00296631	0.00302228	0.00294241	0.0029483	0.00308851	0.00304158	0.00275051	0.0219497	0.00274986	0.00292282	0.00288461	0.00297413	0.00254635	0.00268643	0.00151732	0.00274992	0.00265189	0.0028381	0.00284098	0.00277295	0.00206709	0.00309734	0.00292687	0.00261337	0.0165983	0.0167395	0.0166739	0.0166007
unclassified-kra_L6877A1_	0.00265057	0.00289103	0.00295363	0.00279296	0.00277454	0.00270947	0.00261037	0.002598	0.00236246	0.00272266	0.00252389	0	0.00284939	0.00294952	0.00288854	0.00291844	0.00291588	0.00297925	0.00271844	0.0217764	0.00267209	0.00283727	0.00281075	0.00286785	0.00247453	0.00266374	0.00149656	0.00262693	0.00254979	0.00270564	0.00279384	0.00276833	0.00207013	0.00307499	0.00294814	0.00249781	0.0164532	0.0165432	0.0164742	0.0164518
unclassified-kra_L6878A1_	0.0028291	0.00308204	0.00324876	0.00293034	0.00317793	0.00305354	0.00290197	0.00299719	0.00255797	0.00294859	0.00296631	0.00284939	0	0.00312425	0.00312558	0.00304417	0.00317572	0.00316447	0.00282994	0.0220347	0.00288467	0.00306446	0.00304606	0.00306835	0.00271321	0.00298742	0.00180148	0.0030157	0.00282357	0.00308157	0.00309653	0.00303914	0.0022051	0.00323659	0.00313592	0.00283219	0.0165782	0.0167651	0.0166762	0.0165478
unclassified-kra_L6879A1_	0.00289501	0.00310447	0.00325929	0.00301462	0.00319863	0.00312454	0.00297081	0.00302385	0.00260914	0.00291709	0.00302228	0.00294952	0.00312425	0	0.00326266	0.00312963	0.0032665	0.00325577	0.00299712	0.0222275	0.00296409	0.00315172	0.00302266	0.00311563	0.00280108	0.00308151	0.00182667	0.00308915	0.00297568	0.00314036	0.00311639	0.0030317	0.00224353	0.00338615	0.00322503	0.00293576	0.0168775	0.0170925	0.0169552	0.0168414
