sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
unclassified-kra_unclassified-seq_ERR9709224__merged.hist	histogram	genome-skim	3.50	874739082	0.52	41.74	0.0048	163
unclassified-kra_unclassified-seq_ERR9709235__merged.hist	histogram	genome-skim	3.56	780696426	0.65	21.24	0.0042	162
unclassified-kra_unclassified-seq_ERR9709202__merged.hist	histogram	genome-skim	3.56	801816826	0.62	33.97	0.0040	157
unclassified-kra_unclassified-seq_ERR9709209__merged.hist	histogram	genome-skim	3.49	766330798	0.67	37.98	0.0039	157
unclassified-kra_unclassified-seq_ERR9709230__merged.hist	histogram	genome-skim	3.34	742653307	0.69	24.47	0.0041	162
unclassified-kra_unclassified-seq_ERR9709212__merged.hist	histogram	genome-skim	3.42	852967257	0.55	25.63	0.0037	158
unclassified-kra_unclassified-seq_ERR9709246__merged.hist	histogram	genome-skim	3.47	755003958	0.69	30.25	0.0039	154
unclassified-kra_unclassified-seq_ERR9709203__merged.hist	histogram	genome-skim	4.54	807565547	0.57	27.90	0.0112	153
unclassified-kra_unclassified-seq_ERR9709219__merged.hist	histogram	genome-skim	3.66	789943082	0.64	29.69	0.0048	157
unclassified-kra_unclassified-seq_ERR9709216__merged.hist	histogram	genome-skim	3.43	737967444	0.69	23.05	0.0048	167
unclassified-kra_unclassified-seq_ERR9709243__merged.hist	histogram	genome-skim	3.48	744560341	0.69	20.99	0.0043	160
unclassified-kra_unclassified-seq_ERR9709251__merged.hist	histogram	genome-skim	4.17	914099196	0.51	97.03	0.0054	140
unclassified-kra_unclassified-seq_ERR9709226__merged.hist	histogram	genome-skim	3.54	754609845	0.68	19.42	0.0040	161
unclassified-kra_unclassified-seq_ERR9709225__merged.hist	histogram	genome-skim	3.37	746998254	0.70	28.04	0.0041	158
unclassified-kra_unclassified-seq_ERR9709245__merged.hist	histogram	genome-skim	3.54	802844828	0.61	24.94	0.0038	158
unclassified-kra_unclassified-seq_ERR9709249__merged.hist	histogram	genome-skim	3.40	868587318	0.52	31.73	0.0040	155
unclassified-kra_unclassified-seq_ERR9709211__merged.hist	histogram	genome-skim	3.60	885765694	0.51	32.01	0.0041	153
unclassified-kra_unclassified-seq_ERR9709240__merged.hist	histogram	genome-skim	3.53	759080526	0.67	20.08	0.0039	162
unclassified-kra_unclassified-seq_ERR9709218__merged.hist	histogram	genome-skim	3.57	780808370	0.64	23.82	0.0043	162
unclassified-kra_unclassified-seq_ERR9709231__merged.hist	histogram	genome-skim	3.56	773324387	0.65	25.20	0.0046	167
unclassified-kra_unclassified-seq_ERR9709204__merged.hist	histogram	genome-skim	3.60	891108284	0.52	50.85	0.0040	149
unclassified-kra_unclassified-seq_ERR9709215__merged.hist	histogram	genome-skim	3.49	884405314	0.51	51.87	0.0042	157
unclassified-kra_unclassified-seq_ERR9709227__merged.hist	histogram	genome-skim	3.59	789185505	0.63	28.55	0.0042	158
unclassified-kra_unclassified-seq_ERR9709228__merged.hist	histogram	genome-skim	3.60	778472347	0.64	23.68	0.0044	159
unclassified-kra_unclassified-seq_ERR9709252__merged.hist	histogram	genome-skim	3.66	786377130	0.66	43.90	0.0047	151
unclassified-kra_unclassified-seq_ERR9709213__merged.hist	histogram	genome-skim	3.59	779190801	0.66	49.06	0.0038	149
unclassified-kra_unclassified-seq_ERR9709210__merged.hist	histogram	genome-skim	3.58	817663388	0.62	48.17	0.0039	153
unclassified-kra_unclassified-seq_ERR9709206__merged.hist	histogram	genome-skim	3.60	823091594	0.57	26.31	0.0043	159
unclassified-kra_unclassified-seq_ERR9709253__merged.hist	histogram	genome-skim	3.57	871276281	0.52	37.60	0.0046	155
unclassified-kra_unclassified-seq_ERR9709208__merged.hist	histogram	genome-skim	3.46	852315538	0.55	36.82	0.0041	154
unclassified-kra_unclassified-seq_ERR9709214__merged.hist	histogram	genome-skim	3.46	864049654	0.54	40.47	0.0041	152
unclassified-kra_unclassified-seq_ERR9709241__merged.hist	histogram	genome-skim	3.60	783492845	0.64	21.13	0.0044	160
unclassified-kra_unclassified-seq_ERR9709247__merged.hist	histogram	genome-skim	3.66	896524723	0.51	69.98	0.0045	142
unclassified-kra_unclassified-seq_ERR9709220__merged.hist	histogram	genome-skim	3.41	848126357	0.53	18.19	0.0042	161
unclassified-kra_unclassified-seq_ERR9709217__merged.hist	histogram	genome-skim	3.50	757206477	0.68	25.38	0.0041	161
unclassified-kra_unclassified-seq_ERR9709221__merged.hist	histogram	genome-skim	3.33	721580916	0.72	17.69	0.0045	158
unclassified-kra_unclassified-seq_ERR9709242__merged.hist	histogram	genome-skim	3.42	740855862	0.69	22.12	0.0040	163
unclassified-kra_unclassified-seq_ERR9709244__merged.hist	histogram	genome-skim	3.52	782654385	0.64	22.06	0.0038	159
unclassified-kra_unclassified-seq_ERR9709238__merged.hist	histogram	genome-skim	3.59	752951174	0.68	22.40	0.0050	159
unclassified-kra_unclassified-seq_ERR9709236__merged.hist	histogram	genome-skim	3.44	861556235	0.53	23.88	0.0040	161
unclassified-kra_unclassified-seq_ERR9709234__merged.hist	histogram	genome-skim	3.57	755924455	0.68	24.64	0.0046	159
unclassified-kra_unclassified-seq_ERR9709248__merged.hist	histogram	genome-skim	3.42	744098730	0.67	18.58	0.0039	169
