sample	unclassified-kra_subsampled4x_ERR9709202	unclassified-kra_subsampled4x_ERR9709203	unclassified-kra_subsampled4x_ERR9709204	unclassified-kra_subsampled4x_ERR9709206	unclassified-kra_subsampled4x_ERR9709208	unclassified-kra_subsampled4x_ERR9709209	unclassified-kra_subsampled4x_ERR9709210	unclassified-kra_subsampled4x_ERR9709211	unclassified-kra_subsampled4x_ERR9709212	unclassified-kra_subsampled4x_ERR9709213	unclassified-kra_subsampled4x_ERR9709214	unclassified-kra_subsampled4x_ERR9709215	unclassified-kra_subsampled4x_ERR9709216	unclassified-kra_subsampled4x_ERR9709217	unclassified-kra_subsampled4x_ERR9709218	unclassified-kra_subsampled4x_ERR9709220	unclassified-kra_subsampled4x_ERR9709221	unclassified-kra_subsampled4x_ERR9709222	unclassified-kra_subsampled4x_ERR9709223	unclassified-kra_subsampled4x_ERR9709224	unclassified-kra_subsampled4x_ERR9709225	unclassified-kra_subsampled4x_ERR9709226	unclassified-kra_subsampled4x_ERR9709227	unclassified-kra_subsampled4x_ERR9709228	unclassified-kra_subsampled4x_ERR9709229	unclassified-kra_subsampled4x_ERR9709230	unclassified-kra_subsampled4x_ERR9709231	unclassified-kra_subsampled4x_ERR9709234	unclassified-kra_subsampled4x_ERR9709235	unclassified-kra_subsampled4x_ERR9709236	unclassified-kra_subsampled4x_ERR9709238	unclassified-kra_subsampled4x_ERR9709240	unclassified-kra_subsampled4x_ERR9709241	unclassified-kra_subsampled4x_ERR9709242	unclassified-kra_subsampled4x_ERR9709243	unclassified-kra_subsampled4x_ERR9709244	unclassified-kra_subsampled4x_ERR9709245	unclassified-kra_subsampled4x_ERR9709246	unclassified-kra_subsampled4x_ERR9709247	unclassified-kra_subsampled4x_ERR9709248	unclassified-kra_subsampled4x_ERR9709249	unclassified-kra_subsampled4x_ERR9709251	unclassified-kra_subsampled4x_ERR9709252	unclassified-kra_subsampled4x_ERR9709253
unclassified-kra_subsampled4x_ERR9709202	0	0.0452959	0.0804127	0.0761904	0.0780165	0.0761904	0.0776189	0.078875	0.0755977	0.0788076	0.0778986	0.0792282	0.0755856	0.0754469	0.0761534	0.0745342	0.0465067	0.0797034	0.0830782	0.0766506	0.0758773	0.0750879	0.0759323	0.047059	0.0762213	0.0756098	0.0753627	0.0754469	0.075628	0.0756219	0.0481338	0.0759568	0.0478968	0.0742901	0.0747333	0.0769783	0.0762646	0.0774381	0.0813877	0.0743596	0.0787672	0.0815718	0.0787134	0.0774253
unclassified-kra_subsampled4x_ERR9709203	0.0452959	0	0.0497447	0.0443085	0.047259	0.0448453	0.0478944	0.0485722	0.0452193	0.0483091	0.0469666	0.0477343	0.0439948	0.0438179	0.0433353	0.0431682	0.0231416	0.0488088	0.0524476	0.0459686	0.0433054	0.0436662	0.044142	0.0248959	0.0441359	0.0439154	0.0428958	0.0437693	0.0435575	0.04429	0.0252597	0.0452703	0.0242401	0.0431563	0.0431682	0.0452065	0.0447635	0.047014	0.0499983	0.0426551	0.0479363	0.0523341	0.0476095	0.0453279
unclassified-kra_subsampled4x_ERR9709204	0.0804127	0.0497447	0	0.079324	0.0808927	0.0795234	0.0811173	0.0816235	0.0794133	0.0823724	0.0804981	0.082191	0.0792692	0.0789021	0.0786129	0.0799263	0.0514374	0.0820932	0.0856692	0.0806195	0.0780821	0.0790104	0.0794752	0.0519613	0.0800454	0.0788278	0.0791873	0.0787	0.0789359	0.079634	0.0518143	0.0798007	0.0510109	0.078526	0.0793652	0.0795787	0.0794339	0.0805838	0.0833276	0.0788886	0.0813877	0.0852163	0.0810882	0.0799123
unclassified-kra_subsampled4x_ERR9709206	0.0761904	0.0443085	0.079324	0	0.0777097	0.0758712	0.0779051	0.0786598	0.075471	0.0776253	0.0768203	0.0781809	0.07447	0.0751117	0.074238	0.0740135	0.0466102	0.0797173	0.0828155	0.0771882	0.0746628	0.0740882	0.0751892	0.0468583	0.0759997	0.074698	0.0741457	0.0746863	0.0740882	0.0743538	0.0469001	0.0752669	0.0469854	0.0739906	0.0737282	0.075483	0.0767071	0.0769214	0.0804056	0.0734063	0.077509	0.0814024	0.078566	0.0753867
unclassified-kra_subsampled4x_ERR9709208	0.0780165	0.047259	0.0808927	0.0777097	0	0.0779575	0.0788886	0.0800314	0.0780033	0.0799193	0.0787067	0.0793035	0.0772649	0.0771436	0.0769847	0.0767071	0.0485813	0.0801016	0.0840963	0.0781875	0.0771372	0.0768456	0.0776642	0.0496997	0.0768456	0.0771818	0.0777226	0.0770418	0.0759262	0.0775155	0.0485099	0.0773995	0.0493441	0.0762398	0.0764881	0.0779706	0.077964	0.0783928	0.0822136	0.0762213	0.0792624	0.0839762	0.0790104	0.0776902
unclassified-kra_subsampled4x_ERR9709209	0.0761904	0.0448453	0.0795234	0.0758712	0.0779575	0	0.0785126	0.0785727	0.0754589	0.078247	0.0775026	0.0780624	0.0743016	0.0747803	0.0749811	0.0742959	0.0464436	0.078247	0.0829157	0.0763699	0.0749515	0.0746687	0.0752549	0.0475579	0.0751534	0.0742438	0.074798	0.0747156	0.0739048	0.0748628	0.0472548	0.0756947	0.0471237	0.0736318	0.0742091	0.0757007	0.0763761	0.0770164	0.0800244	0.0730989	0.078446	0.0827233	0.0781019	0.0760488
unclassified-kra_subsampled4x_ERR9709210	0.0776189	0.0478944	0.0811173	0.0779051	0.0788886	0.0785126	0	0.0795234	0.077879	0.0801087	0.0780887	0.0796687	0.0766381	0.0763699	0.0771499	0.0771372	0.0484707	0.0805266	0.0831793	0.078446	0.0773097	0.0769467	0.0774253	0.0495866	0.0776837	0.0767888	0.0770291	0.076934	0.0763203	0.0773931	0.0494719	0.0774897	0.0499232	0.0763823	0.0765193	0.0776124	0.0788009	0.0789968	0.0819657	0.0768456	0.0784993	0.0829234	0.079759	0.0785393
unclassified-kra_subsampled4x_ERR9709211	0.078875	0.0485722	0.0816235	0.0786598	0.0800314	0.0785727	0.0795234	0	0.078506	0.0803417	0.0800946	0.0811101	0.0777617	0.0782404	0.0778072	0.0771754	0.0497306	0.0805909	0.0839203	0.0796271	0.0770736	0.0771372	0.0779575	0.0491634	0.0784127	0.0775026	0.0787134	0.0775671	0.0774832	0.0783331	0.0505839	0.0789901	0.049955	0.0767134	0.077593	0.0790579	0.0787672	0.0800876	0.0827847	0.076401	0.0792761	0.0840162	0.0804056	0.0790783
unclassified-kra_subsampled4x_ERR9709212	0.0755977	0.0452193	0.0794133	0.075471	0.0780033	0.0754589	0.077879	0.078506	0	0.078247	0.0770164	0.0774768	0.0745167	0.0747862	0.074505	0.0745692	0.0473745	0.0791464	0.0825702	0.0765255	0.0753867	0.07454	0.07454	0.0470878	0.0755011	0.0753567	0.075477	0.0748274	0.0745867	0.0754228	0.0467962	0.075489	0.0469739	0.0740709	0.0746101	0.0755132	0.0759262	0.0769403	0.0801509	0.0739448	0.0771882	0.0814465	0.0782404	0.0761596
unclassified-kra_subsampled4x_ERR9709213	0.0788076	0.0483091	0.0823724	0.0776253	0.0799193	0.078247	0.0801087	0.0803417	0.078247	0	0.0797311	0.0797729	0.0785928	0.0782205	0.078148	0.0774574	0.0502148	0.0806338	0.0842331	0.0792009	0.0772329	0.0774317	0.0783994	0.0502267	0.0783662	0.0773674	0.0775607	0.0780493	0.0768456	0.0774188	0.0503881	0.0781414	0.04979	0.0773225	0.0772585	0.0783331	0.0793377	0.0799753	0.0821082	0.0772457	0.0798565	0.0837929	0.0800595	0.0797659
